dataset      quants      measure1      measure2      CorrSpear      pValSpear      CorrKend      pValKend
bdb      dgbqa      r      relevance      -0.2432      0.1799      -0.2016      0.1758
bdb      deltaDistance      r      relevance      -0.8191      0.0      -0.7037      0.0
bdb      genCapacity      r      relevance      -0.9261      0.0      -0.8251      0.0
bdb      masterFace      r      relevance      -0.8968      0.0      -0.7738      0.0
bdb      swipeQuality      r      relevance      -0.732      0.0      -0.6263      0.0

bdb      dgbqa      r      psi      -0.1459      0.4256      -0.121      0.4166
bdb      deltaDistance      r      psi      0.5394      0.0014      0.4492      0.0017
bdb      genCapacity      r      psi      0.891      0.0      0.777      0.0
bdb      masterFace      r      psi      0.8968      0.0      0.7738      0.0
bdb      swipeQuality      r      psi      0.5058      0.0031      0.422      0.0033

bdb      dgbqa      relevance      psi      -0.2885      0.1093      -0.1976      0.1162
bdb      deltaDistance      relevance      psi      -0.7793      0.0      -0.5927      0.0
bdb      genCapacity      relevance      psi      -0.9621      0.0      -0.9417      0.0
bdb      masterFace      relevance      psi      -1.0      0.0      -1.0      0.0
bdb      swipeQuality      relevance      psi      -0.8098      0.0      -0.6331      0.0


bdb      dgbqa      r      Ar_star      -0.2626      0.1465      -0.2177      0.1437
bdb      deltaDistance      r      Ar_star      -0.7563      0.0      -0.6466      0.0
bdb      genCapacity      r      Ar_star      0.088      0.632      0.073      0.6242
bdb      masterFace      r      Ar_star      -0.869      0.0      -0.7228      0.0
bdb      swipeQuality      r      Ar_star      -0.8234      0.0      -0.707      0.0
bdb      dgbqa      relevance      Ar_star      0.2412      0.1836      0.1734      0.1694
bdb      deltaDistance      relevance      Ar_star      0.8999      0.0      0.754      0.0
bdb      genCapacity      relevance      Ar_star      0.1691      0.355      0.0695      0.602
bdb      masterFace      relevance      Ar_star      0.7119      0.0      0.4539      0.0007
bdb      swipeQuality      relevance      Ar_star      0.6976      0.0      0.5363      0.0
bdb      dgbqa      psi      Ar_star      -0.8409      0.0      -0.7177      0.0
bdb      deltaDistance      psi      Ar_star      -0.9179      0.0      -0.7823      0.0
bdb      genCapacity      psi      Ar_star      -0.0744      0.6855      0.0262      0.8411
bdb      masterFace      psi      Ar_star      -0.7119      0.0      -0.4539      0.0007
bdb      swipeQuality      psi      Ar_star      -0.7111      0.0      -0.5806      0.0
bdb      dgbqa      euclid      Ar_star      -0.8061      0.0      -0.6774      0.0
bdb      deltaDistance      euclid      Ar_star      -0.9168      0.0      -0.7702      0.0
bdb      genCapacity      euclid      Ar_star      -0.1667      0.3618      -0.0602      0.6513
bdb      masterFace      euclid      Ar_star      -0.7131      0.0      -0.4492      0.0007
bdb      swipeQuality      euclid      Ar_star      -0.6921      0.0      -0.5484      0.0
bdb      dgbqa      corr      Ar_star      0.8061      0.0      0.6774      0.0
bdb      deltaDistance      corr      Ar_star      0.9168      0.0      0.7702      0.0
bdb      genCapacity      corr      Ar_star      0.2486      0.1701      0.1483      0.2558
bdb      masterFace      corr      Ar_star      nan      nan      nan      nan
bdb      swipeQuality      corr      Ar_star      0.6921      0.0      0.5484      0.0
bdb      dgbqa      Kendall      Ar_star      0.2626      0.1465      0.2177      0.1437
bdb      deltaDistance      Kendall      Ar_star      0.6025      0.0003      0.4448      0.002
bdb      genCapacity      Kendall      Ar_star      -0.088      0.632      -0.073      0.6242
bdb      masterFace      Kendall      Ar_star      0.7923      0.0      0.6355      0.0
bdb      swipeQuality      Kendall      Ar_star      0.6592      0.0      0.5012      0.0006
bdb      dgbqa      DCG      Ar_star      0.761      0.0      0.6169      0.0
bdb      deltaDistance      DCG      Ar_star      0.8138      0.0      0.6331      0.0
bdb      genCapacity      DCG      Ar_star      0.0744      0.6855      -0.0262      0.8411
bdb      masterFace      DCG      Ar_star      0.7867      0.0      0.5604      0.0
bdb      swipeQuality      DCG      Ar_star      0.511      0.0028      0.3468      0.0049

bdb      dgbqa      err      Ar_star      0.7672      0.0      0.629      0.0
bdb      deltaDistance      err      Ar_star      0.8149      0.0      0.6411      0.0
bdb      genCapacity      err      Ar_star      0.1691      0.355      0.0695      0.602
bdb      masterFace      err      Ar_star      0.7867      0.0      0.5604      0.0
bdb      swipeQuality      err      Ar_star      0.5205      0.0023      0.371      0.0025

bdb      dgbqa      U      Ar_star      0.2412      0.1836      0.1734      0.1694
bdb      deltaDistance      U      Ar_star      0.8999      0.0      0.754      0.0
bdb      genCapacity      U      Ar_star      0.0744      0.6855      -0.0262      0.8411
bdb      masterFace      U      Ar_star      0.7119      0.0      0.4539      0.0007
bdb      swipeQuality      U      Ar_star      0.6976      0.0      0.5363      0.0

bdb      dgbqa      gre      Ar_star      -0.2626      0.1465      -0.2177      0.1437
bdb      deltaDistance      gre      Ar_star      -0.7541      0.0      -0.6335      0.0
bdb      genCapacity      gre      Ar_star      nan      nan      nan      nan
bdb      masterFace      gre      Ar_star      0.0681      0.7112      0.0565      0.7046
bdb      swipeQuality      gre      Ar_star      -0.8234      0.0      -0.707      0.0

bdb      dgbqa      infAp      Ar_star      0.2626      0.1465      0.2177      0.1437
bdb      deltaDistance      infAp      Ar_star      0.7397      0.0      0.6217      0.0
bdb      genCapacity      infAp      Ar_star      nan      nan      nan      nan
bdb      masterFace      infAp      Ar_star      -0.0681      0.7112      -0.0565      0.7046
bdb      swipeQuality      infAp      Ar_star      0.8234      0.0      0.707      0.0
bdb      dgbqa      neg_rel      Ar_star      nan      nan      nan      nan
bdb      deltaDistance      neg_rel      Ar_star      nan      nan      nan      nan
bdb      genCapacity      neg_rel      Ar_star      nan      nan      nan      nan
bdb      masterFace      neg_rel      Ar_star      nan      nan      nan      nan
bdb      swipeQuality      neg_rel      Ar_star      nan      nan      nan      nan
bdb      dgbqa      rpp      Ar_star      -0.6877      0.0      -0.5685      0.0
bdb      deltaDistance      rpp      Ar_star      0.5913      0.0004      0.4274      0.0004
bdb      genCapacity      rpp      Ar_star      -0.2755      0.127      -0.1576      0.2435
bdb      masterFace      rpp      Ar_star      0.8933      0.0      0.7317      0.0
bdb      swipeQuality      rpp      Ar_star      0.6906      0.0      0.4839      0.0001
