dataset      quants      measure1      measure2      CorrSpear      pValSpear      CorrKend      pValKend
bdb      dgbqa      r      relevance      -0.8032      0.0      -0.666      0.0
bdb      deltaDistance      r      relevance      -0.7504      0.0      -0.6222      0.0
bdb      genCapacity      r      relevance      -0.6569      0.0      -0.5937      0.0001
bdb      masterFace      r      relevance      -0.7229      0.0      -0.6441      0.0001
bdb      swipeQuality      r      relevance      -0.8741      0.0      -0.7535      0.0

bdb      dgbqa      r      psi      -0.8032      0.0      -0.666      0.0
bdb      deltaDistance      r      psi      -0.6644      0.0      -0.5509      0.0002
bdb      genCapacity      r      psi      0.1739      0.341      0.098      0.5189
bdb      masterFace      r      psi      0.1946      0.2858      0.1734      0.2785
bdb      swipeQuality      r      psi      -0.6115      0.0002      -0.5134      0.0003

bdb      dgbqa      relevance      psi      0.9872      0.0      0.9274      0.0
bdb      deltaDistance      relevance      psi      0.8402      0.0      0.6895      0.0
bdb      genCapacity      relevance      psi      0.1241      0.4987      0.2243      0.114
bdb      masterFace      relevance      psi      -0.7852      0.0      -0.5691      0.0001
bdb      swipeQuality      relevance      psi      0.798      0.0      0.7177      0.0

bdb      dgbqa      r      Ar_star      -0.8032      0.0      -0.666      0.0
bdb      deltaDistance      r      Ar_star      -0.7504      0.0      -0.6222      0.0
bdb      genCapacity      r      Ar_star      -0.3063      0.0882      -0.1606      0.2563
bdb      masterFace      r      Ar_star      -0.6764      0.0      -0.5608      0.0002
bdb      swipeQuality      r      Ar_star      -0.9067      0.0      -0.7893      0.0
bdb      dgbqa      relevance      Ar_star      0.8424      0.0      0.6895      0.0
bdb      deltaDistance      relevance      Ar_star      0.923      0.0      0.7621      0.0
bdb      genCapacity      relevance      Ar_star      0.5464      0.0012      0.3656      0.0057
bdb      masterFace      relevance      Ar_star      0.8796      0.0      0.6993      0.0
bdb      swipeQuality      relevance      Ar_star      0.9575      0.0      0.8427      0.0
bdb      dgbqa      psi      Ar_star      0.8622      0.0      0.7218      0.0
bdb      deltaDistance      psi      Ar_star      0.7218      0.0      0.5403      0.0
bdb      genCapacity      psi      Ar_star      0.7189      0.0      0.4724      0.0004
bdb      masterFace      psi      Ar_star      -0.6782      0.0      -0.3612      0.0067
bdb      swipeQuality      psi      Ar_star      0.7291      0.0      0.6008      0.0
bdb      dgbqa      euclid      Ar_star      -0.8365      0.0      -0.6855      0.0
bdb      deltaDistance      euclid      Ar_star      -0.9355      0.0      -0.7863      0.0
bdb      genCapacity      euclid      Ar_star      -0.5062      0.0031      -0.3066      0.0205
bdb      masterFace      euclid      Ar_star      -0.8964      0.0      -0.7364      0.0
bdb      swipeQuality      euclid      Ar_star      -0.9582      0.0      -0.8468      0.0
