dataset      quants      measure1      measure2      CorrSpear      pValSpear      CorrKend      pValKend
bdb      dgbqa      r      relevance      -0.4195      0.0169      -0.3478      0.0195
bdb      deltaDistance      r      relevance      -0.8292      0.0      -0.6971      0.0
bdb      genCapacity      r      relevance      -0.8155      0.0      -0.7149      0.0
bdb      masterFace      r      relevance      -0.9188      0.0      -0.8187      0.0
bdb      swipeQuality      r      relevance      nan      nan      nan      nan

bdb      dgbqa      r      psi      -0.2517      0.1647      -0.2087      0.1611
bdb      deltaDistance      r      psi      -0.0336      0.8551      -0.0318      0.8286
bdb      genCapacity      r      psi      -0.7586      0.0      -0.6197      0.0001
bdb      masterFace      r      psi      0.7511      0.0      0.6692      0.0
bdb      swipeQuality      r      psi      nan      nan      nan      nan

bdb      dgbqa      relevance      psi      0.3512      0.0487      0.2702      0.0302
bdb      deltaDistance      relevance      psi      0.1844      0.3124      0.1492      0.2386
bdb      genCapacity      relevance      psi      0.8265      0.0      0.7504      0.0
bdb      masterFace      relevance      psi      -0.7228      0.0      -0.4096      0.0042
bdb      swipeQuality      relevance      psi      0.7845      0.0      0.6411      0.0


bdb      dgbqa      r      Ar_star      -0.4195      0.0169      -0.3478      0.0195
bdb      deltaDistance      r      Ar_star      -0.8292      0.0      -0.6971      0.0
bdb      genCapacity      r      Ar_star      -0.8323      0.0      -0.6638      0.0
bdb      masterFace      r      Ar_star      -0.8597      0.0      -0.7128      0.0
bdb      swipeQuality      r      Ar_star      nan      nan      nan      nan
bdb      dgbqa      relevance      Ar_star      0.8479      0.0      0.6855      0.0
bdb      deltaDistance      relevance      Ar_star      0.9681      0.0      0.8669      0.0
bdb      genCapacity      relevance      Ar_star      0.6879      0.0      0.4736      0.0003
bdb      masterFace      relevance      Ar_star      0.9141      0.0      0.7873      0.0
bdb      swipeQuality      relevance      Ar_star      0.2735      0.1299      0.2056      0.1017
bdb      dgbqa      psi      Ar_star      0.1826      0.3173      0.1411      0.2655
bdb      deltaDistance      psi      Ar_star      0.1855      0.3095      0.1452      0.2518
bdb      genCapacity      psi      Ar_star      0.7783      0.0      0.5827      0.0
bdb      masterFace      psi      Ar_star      -0.7072      0.0      -0.4307      0.0012
bdb      swipeQuality      psi      Ar_star      0.1558      0.3945      0.0887      0.4887
