dataset      quants      measure1      measure2      CorrSpear      pValSpear      CorrKend      pValKend
ntu_60      dgbqa      r      relevance      -0.916      0.0      -0.8158      0.0
ntu_60      deltaDistance      r      relevance      -0.9101      0.0      -0.7928      0.0
ntu_60      genCapacity      r      relevance      -0.7769      0.0      -0.6281      0.0
ntu_60      masterFace      r      relevance      -0.5271      0.0005      -0.4215      0.0013
ntu_60      swipeQuality      r      relevance      -0.9089      0.0      -0.7922      0.0

ntu_60      dgbqa      r      psi      -0.0446      0.7848      -0.0416      0.7216
ntu_60      deltaDistance      r      psi      -0.0299      0.8548      -0.0276      0.8127
ntu_60      genCapacity      r      psi      0.5057      0.0009      0.3523      0.0025
ntu_60      masterFace      r      psi      -0.6588      0.0      -0.5273      0.0001
ntu_60      swipeQuality      r      psi      0.6817      0.0      0.5196      0.0

ntu_60      dgbqa      relevance                 psi      0.0255      0.8758      0.0154      0.8888
ntu_60      deltaDistance      relevance      psi      -0.1167      0.4733      -0.0821      0.4559
ntu_60      genCapacity      relevance      psi      -0.763      0.0      -0.5436      0.0
ntu_60      masterFace      relevance      psi      -0.0247      0.88      -0.0136      0.9149
ntu_60      swipeQuality      relevance      psi      -0.788      0.0      -0.6077      0.0


ntu_60      dgbqa      r      Ar_star      -0.8534      0.0      -0.7215      0.0
ntu_60      deltaDistance      r      Ar_star      -0.9019      0.0      -0.8011      0.0
ntu_60      genCapacity      r      Ar_star      -0.8741      0.0      -0.7534      0.0
ntu_60      masterFace      r      Ar_star      -0.2357      0.1432      -0.1334      0.274
ntu_60      swipeQuality      r      Ar_star      -0.8897      0.0      -0.778      0.0
ntu_60      dgbqa      relevance      Ar_star      0.821      0.0      0.6487      0.0
ntu_60      deltaDistance      relevance      Ar_star      0.8191      0.0      0.6282      0.0
ntu_60      genCapacity      relevance      Ar_star      0.8225      0.0      0.6103      0.0
ntu_60      masterFace      relevance      Ar_star      0.7364      0.0      0.5808      0.0
ntu_60      swipeQuality      relevance      Ar_star      0.7878      0.0      0.6128      0.0
ntu_60      dgbqa      psi      Ar_star      0.0413      0.8004      0.0282      0.7977
ntu_60      deltaDistance      psi      Ar_star      0.0199      0.9031      0.0077      0.9443
ntu_60      genCapacity      psi      Ar_star      -0.6197      0.0      -0.3744      0.0007
ntu_60      masterFace      psi      Ar_star      -0.3536      0.0252      -0.23      0.0515
ntu_60      swipeQuality      psi      Ar_star      -0.5514      0.0002      -0.3692      0.0008
ntu_60      dgbqa      euclid      Ar_star      -0.7829      0.0      -0.6077      0.0
ntu_60      deltaDistance      euclid      Ar_star      -0.8475      0.0      -0.6615      0.0
ntu_60      genCapacity      euclid      Ar_star      -0.8122      0.0      -0.6333      0.0
ntu_60      masterFace      euclid      Ar_star      -0.6618      0.0      -0.4894      0.0
ntu_60      swipeQuality      euclid      Ar_star      -0.7567      0.0      -0.5846      0.0
ntu_60      dgbqa      corr      Ar_star      0.7829      0.0      0.6077      0.0
ntu_60      deltaDistance      corr      Ar_star      0.8475      0.0      0.6615      0.0
ntu_60      genCapacity      corr      Ar_star      0.8122      0.0      0.6333      0.0
ntu_60      masterFace      corr      Ar_star      nan      nan      nan      nan
ntu_60      swipeQuality      corr      Ar_star      0.7567      0.0      0.5846      0.0
ntu_60      dgbqa      Kendall      Ar_star      -0.7677      0.0      -0.6365      0.0
ntu_60      deltaDistance      Kendall      Ar_star      -0.7746      0.0      -0.6395      0.0
ntu_60      genCapacity      Kendall      Ar_star      -0.7382      0.0      -0.6236      0.0
ntu_60      masterFace      Kendall      Ar_star      -0.4781      0.0018      -0.3957      0.0021
ntu_60      swipeQuality      Kendall      Ar_star      -0.839      0.0      -0.7299      0.0
ntu_60      dgbqa      DCG      Ar_star      0.8782      0.0      0.6923      0.0
ntu_60      deltaDistance      DCG      Ar_star      0.7568      0.0      0.5564      0.0
ntu_60      genCapacity      DCG      Ar_star      0.8501      0.0      0.6641      0.0
ntu_60      masterFace      DCG      Ar_star      -0.146      0.3687      -0.1651      0.1621
ntu_60      swipeQuality      DCG      Ar_star      0.7702      0.0      0.5846      0.0

ntu_60      dgbqa      err      Ar_star      0.8614      0.0      0.6744      0.0
ntu_60      deltaDistance      err      Ar_star      0.7402      0.0      0.5385      0.0
ntu_60      genCapacity      err      Ar_star      0.8385      0.0      0.6513      0.0
ntu_60      masterFace      err      Ar_star      0.6472      0.0      0.4865      0.0
ntu_60      swipeQuality      err      Ar_star      0.7741      0.0      0.5974      0.0

ntu_60      dgbqa      U      Ar_star      0.821      0.0      0.6487      0.0
ntu_60      deltaDistance      U      Ar_star      0.8191      0.0      0.6282      0.0
ntu_60      genCapacity      U      Ar_star      0.8225      0.0      0.6103      0.0
