dataset      quants      measure1      measure2      CorrSpear      pValSpear      CorrKend      pValKend
scut      dgbqa      r      relevance      -0.9361      0.0      -0.812      0.0
scut      deltaDistance      r      relevance      -0.938      0.0      -0.8323      0.0
scut      genCapacity      r      relevance      -0.7802      0.0      -0.6298      0.0
scut      masterFace      r      relevance      -0.8588      0.0      -0.7302      0.0
scut      swipeQuality      r      relevance      -0.925      0.0      -0.8161      0.0

scut      dgbqa      r      psi      0.6213      0.0      0.4379      0.0001
scut      deltaDistance      r      psi      0.0001      0.9993      -0.0114      0.9181
scut      genCapacity      r      psi      0.3475      0.0208      0.2696      0.0164
scut      masterFace      r      psi      0.2859      0.0599      0.2086      0.0626
scut      swipeQuality      r      psi      -0.0523      0.7358      -0.057      0.6119

scut      dgbqa      relevance      psi      -0.6822      0.0      -0.4787      0.0
scut      deltaDistance      relevance      psi      -0.0055      0.9717      -0.0085      0.9355
scut      genCapacity      relevance      psi      -0.186      0.2268      -0.1319      0.2095
scut      masterFace      relevance      psi      -0.403      0.0067      -0.2787      0.008
scut      swipeQuality      relevance      psi      0.0795      0.6078      0.0553      0.5987


scut      dgbqa      r      Ar_star      -0.9306      0.0      -0.8165      0.0
scut      deltaDistance      r      Ar_star      -0.8763      0.0      -0.7248      0.0
scut      genCapacity      r      Ar_star      -0.8851      0.0      -0.7552      0.0
scut      masterFace      r      Ar_star      -0.8266      0.0      -0.7023      0.0
scut      swipeQuality      r      Ar_star      -0.8885      0.0      -0.7439      0.0
scut      dgbqa      relevance      Ar_star      0.8921      0.0      0.7213      0.0
scut      deltaDistance      relevance      Ar_star      0.7572      0.0      0.5596      0.0
scut      genCapacity      relevance      Ar_star      0.7538      0.0      0.5745      0.0
scut      masterFace      relevance      Ar_star      0.7314      0.0      0.5511      0.0
scut      swipeQuality      relevance      Ar_star      0.8412      0.0      0.6574      0.0
scut      dgbqa      psi      Ar_star      -0.655      0.0      -0.4681      0.0
scut      deltaDistance      psi      Ar_star      -0.188      0.2218      -0.1255      0.2324
scut      genCapacity      psi      Ar_star      -0.3859      0.0097      -0.2383      0.0234
scut      masterFace      psi      Ar_star      -0.13      0.4003      -0.0894      0.3953
scut      swipeQuality      psi      Ar_star      -0.1151      0.457      -0.0872      0.4066
scut      dgbqa      euclid      Ar_star      -0.7967      0.0      -0.6043      0.0
scut      deltaDistance      euclid      Ar_star      -0.7071      0.0      -0.5149      0.0
scut      genCapacity      euclid      Ar_star      -0.4367      0.003      -0.3128      0.0029
scut      masterFace      euclid      Ar_star      -0.5314      0.0002      -0.4128      0.0001
scut      swipeQuality      euclid      Ar_star      -0.8019      0.0      -0.6234      0.0
scut      dgbqa      corr      Ar_star      0.7967      0.0      0.6043      0.0
scut      deltaDistance      corr      Ar_star      0.7071      0.0      0.5149      0.0
scut      genCapacity      corr      Ar_star      0.4367      0.003      0.3128      0.0029
scut      masterFace      corr      Ar_star      0.5314      0.0002      0.4128      0.0001
scut      swipeQuality      corr      Ar_star      0.8019      0.0      0.6234      0.0
scut      dgbqa      Kendall      Ar_star      0.3453      0.0217      0.267      0.0297
scut      deltaDistance      Kendall      Ar_star      0.2028      0.1868      0.1489      0.2062
scut      genCapacity      Kendall      Ar_star      0.3922      0.0085      0.2789      0.0184
scut      masterFace      Kendall      Ar_star      0.1951      0.2043      0.1524      0.195
scut      swipeQuality      Kendall      Ar_star      0.5261      0.0002      0.3832      0.001
