dataset      measure1      measure2      CorrSpear      pValSpear      CorrKend      pValKend
soli      r      relevance      -0.901      0.0      -0.7689      0.0
soli      r      psi      0.4894      0.0016      0.3753      0.0012
soli      relevance      psi      -0.4964      0.0013      -0.3603      0.0012
handlogin      r      relevance      -0.88      0.0      -0.7639      0.0
handlogin      r      psi      0.6081      0.0      0.4817      0.0
handlogin      relevance      psi      -0.7101      0.0      -0.5717      0.0
tiny      r      relevance      -0.6467      0.023      -0.557      0.0194
tiny      r      psi      -0.2735      0.3897      -0.2089      0.3806
tiny      relevance      psi      -0.1329      0.6806      -0.0606      0.8406
soli      r      Ar_star      -0.7697      0.0      -0.6018      0.0
soli      relevance      Ar_star      0.6974      0.0      0.5223      0.0
soli      psi      Ar_star      -0.4982      0.0012      -0.3684      0.001
handlogin      r      Ar_star      -0.8057      0.0      -0.6933      0.0
handlogin      relevance      Ar_star      0.8606      0.0      0.6997      0.0
handlogin      psi      Ar_star      -0.7924      0.0      -0.6404      0.0
tiny      r      Ar_star      -0.7724      0.0032      -0.6615      0.0055
tiny      relevance      Ar_star      0.4266      0.1667      0.2727      0.2496
tiny      psi      Ar_star      0.2587      0.4168      0.1818      0.459
soli      Ar_star      euclid      -0.5921      0.0001      -0.417      0.0002
soli      Ar_star      corr      0.5921      0.0001      0.417      0.0002
soli      Ar_star      Kendall      0.203      0.2151      0.1589      0.1988
soli      Ar_star      DCG      0.6385      0.0      0.4305      0.0001
soli      Ar_star      err      0.6077      0.0      0.4359      0.0001
soli      Ar_star      U      0.5725      0.0001      0.4278      0.0001
soli      Ar_star      gre      -0.8478      0.0      -0.6572      0.0
soli      Ar_star      infAp      0.6957      0.0      0.5088      0.0
soli      Ar_star      neg_rel      0.3757      0.0184      0.2605      0.0196
soli      Ar_star      rpp      0.7913      0.0      0.6302      0.0
handlogin      Ar_star      euclid      -0.8361      0.0      -0.6902      0.0
handlogin      Ar_star      corr      0.8361      0.0      0.6902      0.0
handlogin      Ar_star      Kendall      -0.4631      0.0004      -0.3861      0.0004
handlogin      Ar_star      DCG      0.8785      0.0      0.7441      0.0
handlogin      Ar_star      err      0.8452      0.0      0.7051      0.0
handlogin      Ar_star      U      0.8606      0.0      0.6997      0.0
handlogin      Ar_star      gre      -0.8263      0.0      -0.6702      0.0
handlogin      Ar_star      infAp      0.5267      0.0      0.3966      0.0001
handlogin      Ar_star      neg_rel      0.3552      0.0078      0.2566      0.0057
handlogin      Ar_star      rpp      0.9343      0.0      0.7881      0.0
tiny      Ar_star      euclid      -0.3846      0.217      -0.2121      0.3807
tiny      Ar_star      corr      0.3846      0.217      0.2121      0.3807
tiny      Ar_star      Kendall      -0.2296      0.4729      -0.1231      0.6081
tiny      Ar_star      DCG      0.2937      0.3541      0.1818      0.459
tiny      Ar_star      err      0.3706      0.2356      0.2121      0.3807
tiny      Ar_star      U      0.4266      0.1667      0.2727      0.2496
tiny      Ar_star      gre      -0.4218      0.172      -0.2636      0.2404
tiny      Ar_star      infAp      0.7311      0.0069      0.5738      0.0106
tiny      Ar_star      neg_rel      0.2168      0.4986      0.1818      0.459
tiny      Ar_star      rpp      0.6224      0.0307      0.5152      0.021
