dataset      quants      measure1      measure2      CorrSpear      pValSpear      CorrKend      pValKend
soli      dgbqa             r      relevance      -0.901      0.0      -0.7689      0.0
soli      deltaDistance      r      relevance      -0.9477      0.0      -0.8283      0.0
soli      genCapacity      r      relevance      -0.2891      0.0742      -0.1968      0.0894
soli      masterFace      r      relevance      -0.6511      0.0      -0.5177      0.0
soli      swipeQuality      r      relevance      -0.8443      0.0      -0.7038      0.0

soli      dgbqa             r      psi      0.4894      0.0016      0.3753      0.0012
soli      deltaDistance      r      psi      0.6435      0.0      0.4926      0.0
soli      genCapacity      r      psi      0.3805      0.0169      0.2761      0.0172
soli      masterFace      r      psi      0.6654      0.0      0.4842      0.0
soli      swipeQuality      r      psi      -0.0933      0.5719      -0.081      0.4805

soli      dgbqa      relevance      psi             -0.4964      0.0013      -0.3603      0.0012
soli      deltaDistance      relevance      psi      -0.5808      0.0001      -0.3954      0.0004
soli      genCapacity      relevance      psi      -0.5642      0.0002      -0.4251      0.0001
soli      masterFace      relevance      psi      -0.6213      0.0      -0.4494      0.0001
soli      swipeQuality      relevance      psi      -0.1099      0.5053      -0.0742      0.5058


soli      dgbqa             r      Ar_star      -0.7697      0.0      -0.6018      0.0
soli      deltaDistance      r      Ar_star      -0.7681      0.0      -0.5869      0.0
soli      genCapacity      r      Ar_star      -0.7296      0.0      -0.5792      0.0
soli      masterFace      r      Ar_star      -0.7265      0.0      -0.5484      0.0
soli      swipeQuality      r      Ar_star      -0.7032      0.0      -0.5279      0.0

soli      dgbqa                relevance      Ar_star      0.6974      0.0      0.5223      0.0
soli      deltaDistance      relevance      Ar_star      0.715      0.0      0.5223      0.0
soli      genCapacity      relevance      Ar_star      0.4377      0.0053      0.3117      0.0052
soli      masterFace      relevance      Ar_star      0.5709      0.0001      0.4143      0.0002
soli      swipeQuality      relevance      Ar_star      0.5065      0.001      0.3468      0.0019

soli      dgbqa               psi      Ar_star      -0.4982      0.0012      -0.3684      0.001
soli      deltaDistance      psi      Ar_star      -0.418      0.0081      -0.2848      0.0107
soli      genCapacity      psi      Ar_star      -0.5379      0.0004      -0.3576      0.0013
soli      masterFace      psi      Ar_star      -0.4291      0.0064      -0.2848      0.0107
soli      swipeQuality      psi      Ar_star      0.0512      0.7568      0.0553      0.6199


soli      dgbqa      euclid      Ar_star      -0.5921      0.0001      -0.417      0.0002
soli      deltaDistance      euclid      Ar_star      -0.7081      0.0      -0.5142      0.0
soli      genCapacity      euclid      Ar_star      -0.2494      0.1257      -0.1606      0.15
soli      masterFace      euclid      Ar_star      -0.4441      0.0046      -0.3306      0.003
soli      swipeQuality      euclid      Ar_star      -0.4953      0.0013      -0.336      0.0026
soli      dgbqa      corr      Ar_star      0.5921      0.0001      0.417      0.0002
soli      deltaDistance      corr      Ar_star      0.7081      0.0      0.5142      0.0
soli      genCapacity      corr      Ar_star      0.2494      0.1257      0.1606      0.15
soli      masterFace      corr      Ar_star      0.4441      0.0046      0.3306      0.003
soli      swipeQuality      corr      Ar_star      0.4953      0.0013      0.336      0.0026
soli      dgbqa      Kendall      Ar_star      0.203      0.2151      0.1589      0.1988
soli      deltaDistance      Kendall      Ar_star      0.0379      0.8187      0.0169      0.8898
soli      genCapacity      Kendall      Ar_star      0.121      0.4631      0.093      0.449
soli      masterFace      Kendall      Ar_star      0.1648      0.3161      0.1162      0.3334
soli      swipeQuality      Kendall      Ar_star      0.2436      0.1351      0.184      0.1326
soli      dgbqa      DCG      Ar_star      0.6385      0.0      0.4305      0.0001
soli      deltaDistance      DCG      Ar_star      0.5049      0.001      0.3684      0.001
soli      genCapacity      DCG      Ar_star      0.6731      0.0      0.5007      0.0
soli      masterFace      DCG      Ar_star      0.5751      0.0001      0.417      0.0002
soli      swipeQuality      DCG      Ar_star      0.4684      0.0026      0.3387      0.0024

soli      dgbqa      err      Ar_star      0.6077      0.0      0.4359      0.0001
soli      deltaDistance      err      Ar_star      0.5654      0.0002      0.39      0.0005
soli      genCapacity      err      Ar_star      0.654      0.0      0.4683      0.0
soli      masterFace      err      Ar_star      0.3838      0.0159      0.274      0.0141
soli      swipeQuality      err      Ar_star      0.3271      0.0421      0.2146      0.0544

soli      dgbqa      U      Ar_star      0.5725      0.0001      0.4278      0.0001
soli      deltaDistance      U      Ar_star      0.565      0.0002      0.417      0.0002
soli      genCapacity      U      Ar_star      0.432      0.006      0.3117      0.0052
soli      masterFace      U      Ar_star      0.5706      0.0001      0.4116      0.0002
soli      swipeQuality      U      Ar_star      0.4486      0.0042      0.3144      0.0048

soli      dgbqa      gre      Ar_star      -0.8478      0.0      -0.6572      0.0
soli      deltaDistance      gre      Ar_star      -0.781      0.0      -0.5924      0.0
soli      genCapacity      gre      Ar_star      -0.7441      0.0      -0.5789      0.0
soli      masterFace      gre      Ar_star      -0.7012      0.0      -0.5304      0.0
soli      swipeQuality      gre      Ar_star      -0.6862      0.0      -0.4899      0.0

soli      dgbqa      infAp      Ar_star      0.6957      0.0      0.5088      0.0
soli      deltaDistance      infAp      Ar_star      0.6678      0.0      0.4899      0.0
