dataset      quants      measure1      measure2      CorrSpear      pValSpear      CorrKend      pValKend
tiny      dgbqa             r      relevance      -0.6467      0.023      -0.557      0.0194
tiny      deltaDistance      r      relevance      -0.872      0.0002      -0.7435      0.0013
tiny      genCapacity      r      relevance      -0.1933      0.5472      -0.1396      0.5342
tiny      masterFace      r      relevance      -0.9824      0.0      -0.9299      0.0
tiny      swipeQuality      r      relevance      -0.9737      0.0      -0.915      0.0

tiny      dgbqa      r      psi      -0.2735      0.3897      -0.2089      0.3806
tiny      deltaDistance      r      psi      0.6193      0.0318      0.4526      0.0496
tiny      genCapacity      r      psi      0.1757      0.5848      0.0775      0.7299
tiny      masterFace      r      psi      0.4382      0.1542      0.3625      0.1099
tiny      swipeQuality      r      psi      0.1265      0.6951      0.1086      0.6288

tiny      dgbqa      relevance      psi      -0.1329      0.6806      -0.0606      0.8406
tiny      deltaDistance      relevance      psi      -0.6294      0.0283      -0.4848      0.0311
tiny      genCapacity      relevance      psi      0.2028      0.5273      0.2121      0.3807
tiny      masterFace      relevance      psi      -0.5175      0.0849      -0.4242      0.0629
tiny      swipeQuality      relevance      psi      -0.1678      0.6021      -0.1212      0.6384


tiny      dgbqa      r      Ar_star      -0.7724      0.0032      -0.6615      0.0055
tiny      deltaDistance      r      Ar_star      -0.7474      0.0052      -0.5819      0.0116
tiny      genCapacity      r      Ar_star      -0.8541      0.0004      -0.6979      0.0019
tiny      masterFace      r      Ar_star      -0.8092      0.0014      -0.6462      0.0044
tiny      swipeQuality      r      Ar_star      -0.7733      0.0032      -0.6048      0.0071

tiny      dgbqa      relevance      Ar_star      0.4266      0.1667      0.2727      0.2496
tiny      deltaDistance      relevance      Ar_star      0.5524      0.0625      0.4242      0.0629
tiny      genCapacity      relevance      Ar_star      0.4476      0.1446      0.3333      0.1526
tiny      masterFace      relevance      Ar_star      0.8392      0.0006      0.6667      0.0018
tiny      swipeQuality      relevance      Ar_star      0.7063      0.0102      0.5152      0.021

tiny      dgbqa      psi      Ar_star      0.2587      0.4168      0.1818      0.459
tiny      deltaDistance      psi      Ar_star      -0.2517      0.4299      -0.1515      0.5452
tiny      genCapacity      psi      Ar_star      0.2238      0.4845      0.1515      0.5452
tiny      masterFace      psi      Ar_star      -0.2937      0.3541      -0.2121      0.3807
tiny      swipeQuality      psi      Ar_star      0.1538      0.6331      0.2424      0.3108

tiny      dgbqa      euclid      Ar_star      -0.3846      0.217      -0.2121      0.3807
tiny      deltaDistance      euclid      Ar_star      -0.6224      0.0307      -0.4242      0.0629
tiny      genCapacity      euclid      Ar_star      -0.5245      0.08      -0.3636      0.116
tiny      masterFace      euclid      Ar_star      -0.951      0.0      -0.8485      0.0
tiny      swipeQuality      euclid      Ar_star      -0.3986      0.1993      -0.303      0.1969

tiny      dgbqa      corr      Ar_star      0.3846      0.217      0.2121      0.3807
tiny      deltaDistance      corr      Ar_star      0.6224      0.0307      0.4242      0.0629
tiny      genCapacity      corr      Ar_star      0.5245      0.08      0.3636      0.116
tiny      masterFace      corr      Ar_star      0.951      0.0      0.8485      0.0
tiny      swipeQuality      corr      Ar_star      0.3986      0.1993      0.303      0.1969

tiny      dgbqa      Kendall      Ar_star      -0.2296      0.4729      -0.1231      0.6081
tiny      deltaDistance      Kendall      Ar_star      -0.5594      0.0586      -0.4227      0.0729
tiny      genCapacity      Kendall      Ar_star      -0.3712      0.2348      -0.2731      0.2499
tiny      masterFace      Kendall      Ar_star      0.1832      0.5687      0.1485      0.545
tiny      swipeQuality      Kendall      Ar_star      0.2533      0.427      0.186      0.4316

tiny      dgbqa      DCG      Ar_star      0.2937      0.3541      0.1818      0.459
tiny      deltaDistance      DCG      Ar_star      0.3986      0.1993      0.2727      0.2496
tiny      genCapacity      DCG      Ar_star      0.1329      0.6806      0.1515      0.5452
tiny      masterFace      DCG      Ar_star      0.7552      0.0045      0.5758      0.0088
tiny      swipeQuality      DCG      Ar_star      0.6434      0.024      0.4848      0.031
1
tiny      dgbqa      err      Ar_star      0.3706      0.2356      0.2121      0.3807
tiny      deltaDistance      err      Ar_star      0.4406      0.1517      0.3333      0.1526
tiny      genCapacity      err      Ar_star      0.3147      0.3191      0.2424      0.3108
tiny      masterFace      err      Ar_star      0.7972      0.0019      0.6364      0.0032
tiny      swipeQuality      err      Ar_star      0.5175      0.0849      0.3939      0.0863

tiny      dgbqa      U      Ar_star      0.4266      0.1667      0.2727      0.2496
tiny      deltaDistance      U      Ar_star      0.5524      0.0625      0.4242      0.0629
tiny      genCapacity      U      Ar_star      0.4476      0.1446      0.3333      0.1526
tiny      masterFace      U      Ar_star      0.8392      0.0006      0.6667      0.0018
tiny      swipeQuality      U      Ar_star      0.7063      0.0102      0.5152      0.021

tiny      dgbqa      gre      Ar_star      -0.4218      0.172      -0.2636      0.2404
tiny      deltaDistance      gre      Ar_star      -0.6014      0.0386      -0.4545      0.0447
tiny      genCapacity      gre      Ar_star      -0.7273      0.0074      -0.5455      0.0138
tiny      masterFace      gre      Ar_star      -0.7552      0.0045      -0.5758      0.0088
tiny      swipeQuality      gre      Ar_star      -0.7273      0.0074      -0.5455      0.0138

tiny      dgbqa      infAp      Ar_star      0.7311      0.0069      0.5738      0.0106
tiny      deltaDistance      infAp      Ar_star      0.6224      0.0307      0.4545      0.0447
tiny      genCapacity      infAp      Ar_star      0.7413      0.0058      0.5758      0.0088
tiny      masterFace      infAp      Ar_star      0.7203      0.0082      0.5455      0.0138
tiny      swipeQuality      infAp      Ar_star      0.4266      0.1667      0.3333      0.1526

tiny      dgbqa      neg_rel      Ar_star      0.2168      0.4986      0.1818      0.459
tiny      deltaDistance      neg_rel      Ar_star      0.049      0.8799      0.0303      0.9466
tiny      genCapacity      neg_rel      Ar_star      0.1818      0.5717      0.1212      0.6384
tiny      masterFace      neg_rel      Ar_star      0.3427      0.2756      0.2727      0.2496
tiny      swipeQuality      neg_rel      Ar_star      0.2168      0.4986      0.1515      0.5452

tiny      dgbqa      rpp      Ar_star      0.6224      0.0307      0.5152      0.021
tiny      deltaDistance      rpp      Ar_star      0.8182      0.0011      0.6364      0.0032
tiny      genCapacity      rpp      Ar_star      0.5524      0.0625      0.4242      0.0629
tiny      masterFace      rpp      Ar_star      0.6993      0.0114      0.5455      0.0138
tiny      swipeQuality      rpp      Ar_star      0.4056      0.1908      0.2727      0.2496
