Quantifier             Metric             selectedModel                                               nAr*             r             R             Psi             Cd
dgbqa                  Ar*           idf_vanilla_lgtranet_k3-5_1-pt5-1_sensorAcc_bdb.npz           0.1152           1.5           1.4521           4.121           0.112
deltaDistance           Ar*           idf_vanilla_lgtranet_k3-5_1-2-pt5_sensorAcc_bdb.npz           0.1166           1.5           1.8404           4.3349           0.1151
masterFace           Ar*           idf_vanilla_lgtranet_k3-5_1-2-1pt5_sensorAcc_bdb.npz           0.1692           1.5           2.5           3.4776           0.0972
genCapacity           Ar*           idf_vanilla_bdLSTM_1-pt5-1pt5_sensorAcc_bdb.npz               0.1034           1.5           1.201           3.4709           0.1091
swipeQuality           Ar*           idf_vanilla_bdLSTM_1-1-1pt5_sensorAcc_bdb.npz                  0.053           2.0           0.9635           3.3844           0.1221

dgbqa           r           idf_vanilla_lgtranet_k3-5_1-pt5-pt5_sensorAcc_bdb.npz           0.1108           1.5           1.4058           4.0431           0.1326
deltaDistance           r           idf_vanilla_lgtranet_k3-5_1-pt5-pt5_sensorAcc_bdb.npz           0.1091           1.5           1.3398           3.9181           0.1326
masterFace           r           idf_vanilla_lgtranet_k3-5_1-pt5-pt1_sensorAcc_bdb.npz           0.1397           1.5           2.5           3.4776           0.3527
genCapacity           r           idf_vanilla_bdLSTM_1-pt5-pt1_sensorAcc_bdb.npz           0.0963           1.5           1.201           3.4709           0.2043
swipeQuality           r           idf_vanilla_lgtranet_k3-5_1-pt5-pt1_sensorAcc_bdb.npz           0.0375           2.0           1.1077           3.3458           0.3527
dgbqa           R           idf_vanilla_bdLSTM_1-2-pt1_sensorAcc_bdb.npz           0.0465           2.0           1.6392           4.2435           0.2075
deltaDistance           R           idf_vanilla_lgtranet_k3-5_1-2-pt5_sensorAcc_bdb.npz           0.1166           1.5           1.8404           4.3349           0.1151
masterFace           R           idf_vanilla_lgtranet_k3-5_1-pt5-pt1_sensorAcc_bdb.npz           0.1397           1.5           2.5           3.4776           0.3527
genCapacity           R           idf_vanilla_bdLSTM_1-2-pt1_sensorAcc_bdb.npz           0.096           1.5           1.201           3.4708           0.2075
swipeQuality           R           idf_vanilla_bdLSTM_1-pt5-1pt5_sensorAcc_bdb.npz           0.0451           2.0           1.1602           3.2972           0.1091
dgbqa           psi           idf_vanilla_lgtranet_k3-5_1-pt5-1pt5_sensorAcc_bdb.npz           0.0455           2.0           1.3412           3.9447           0.1229
deltaDistance           psi           idf_vanilla_bdLSTM_1-1-1pt5_sensorAcc_bdb.npz           0.0445           2.0           1.1382           3.3469           0.1221
masterFace           psi           idf_vanilla_lgtranet_k3-5_1-pt5-pt1_sensorAcc_bdb.npz           0.1397           1.5           2.5           3.4776           0.3527
genCapacity           psi           idf_vanilla_bdLSTM_1-2-pt1_sensorAcc_bdb.npz           0.096           1.5           1.201           3.4708           0.2075
swipeQuality           psi           idf_vanilla_bdLSTM_1-pt5-1pt5_sensorAcc_bdb.npz           0.0451           2.0           1.1602           3.2972           0.1091
dgbqa           Ar           idf_vanilla_bdLSTM_1-1pt5-pt1_sensorAcc_bdb.npz           0.1092           1.5           1.5055           4.1789           0.2096
deltaDistance           Ar           idf_vanilla_lgtranet_k3-5_1-2-pt5_sensorAcc_bdb.npz           0.1166           1.5           1.8404           4.3349           0.1151
masterFace           Ar           idf_vanilla_lgtranet_k3-5_1-pt5-pt1_sensorAcc_bdb.npz           0.1397           1.5           2.5           3.4776           0.3527
genCapacity           Ar           idf_vanilla_bdLSTM_1-2-pt1_sensorAcc_bdb.npz           0.096           1.5           1.201           3.4708           0.2075
swipeQuality           Ar           idf_vanilla_bdLSTM_1-1-pt5_sensorAcc_bdb.npz           0.0523           2.0           0.9368           3.4382           0.1529
dgbqa           ArCd           idf_vanilla_lgtranet_k3-5_1-pt5-1_sensorAcc_bdb.npz           0.1152           1.5           1.4521           4.121           0.112
deltaDistance           ArCd           idf_vanilla_lgtranet_k3-5_1-2-pt5_sensorAcc_bdb.npz           0.1166           1.5           1.8404           4.3349           0.1151
masterFace           ArCd           idf_vanilla_lgtranet_k3-5_1-2-1pt5_sensorAcc_bdb.npz           0.1692           1.5           2.5           3.4776           0.0972
