Quantifier             Metric             selectedModel                                                 nAr*             r             R             Psi             Cd
dgbqa                   Ar*           idf_vanilla_lgtranet_k3-5_1-1pt5-1_sensorGrav_bdb.npz           0.1547           1.0           3.0971           4.9446           0.1022
deltaDistance           Ar*           idf_vanilla_lgtranet_k3-5_1-2-1_sensorGrav_bdb.npz              0.1556           1.0           3.3218           4.6797           0.1084
masterFace              Ar*           idf_vanilla_lgtranet_k3-5_1-1pt5-1pt5_sensorGrav_bdb.npz        0.1294           1.5           2.5              3.9734           0.0987
swipeQuality           Ar*           idf_vanilla_bdLSTM_1-1pt5-1_sensorGrav_bdb.npz                   0.1602           1.5           2.7547           4.8818           0.16

dgbqa           r           idf_vanilla_lgtranet_k3-5_1-pt5-pt1_sensorGrav_bdb.npz           0.1516           1.0           3.2463           4.774           0.146
deltaDistance           r           idf_vanilla_lgtranet_k3-5_1-pt5-pt1_sensorGrav_bdb.npz           0.1396           1.0           3.2212           4.8129           0.146
masterFace           r           idf_vanilla_bdLSTM_1-pt5-pt1_sensorGrav_bdb.npz           0.1133           1.0           3.3664           9.0129           0.2098
swipeQuality           r           idf_vanilla_lgtranet_k3-5_1-pt5-pt1_sensorGrav_bdb.npz           0.1169           1.5           2.8232           4.9133           0.146
dgbqa           R           idf_vanilla_lgtranet_k3-5_1-pt5-pt1_sensorGrav_bdb.npz           0.1516           1.0           3.2463           4.774           0.146
deltaDistance           R           idf_vanilla_lgtranet_k3-5_1-2-pt5_sensorGrav_bdb.npz           0.15           1.0           3.3454           4.5878           0.1059
masterFace           R           idf_vanilla_bdLSTM_1-2-pt5_sensorGrav_bdb.npz           0.1159           1.0           3.3912           9.0378           0.1778
swipeQuality           R           idf_vanilla_bdLSTM_1-2-pt1_sensorGrav_bdb.npz           0.1528           1.5           2.9039           4.5488           0.2706
dgbqa           psi           idf_vanilla_lgtranet_k3-5_1-pt5-pt1_sensorGrav_bdb.npz           0.1516           1.0           3.2463           4.774           0.146
deltaDistance           psi           idf_vanilla_lgtranet_k3-5_1-2-pt5_sensorGrav_bdb.npz           0.15           1.0           3.3454           4.5878           0.1059
masterFace           psi           idf_vanilla_lgtranet_k3-5_1-pt5-pt1_sensorGrav_bdb.npz           0.1248           1.5           2.5           3.9734           0.146
swipeQuality           psi           idf_vanilla_bdLSTM_1-2-pt1_sensorGrav_bdb.npz           0.1528           1.5           2.9039           4.5488           0.2706
dgbqa           Ar           idf_vanilla_lgtranet_k3-5_1-pt5-pt1_sensorGrav_bdb.npz           0.1516           1.0           3.2463           4.774           0.146
deltaDistance           Ar           idf_vanilla_bdLSTM_1-pt5-pt5_sensorGrav_bdb.npz           0.1517           1.0           3.0339           4.8908           0.1556
masterFace           Ar           idf_vanilla_bdLSTM_1-1pt5-pt1_sensorGrav_bdb.npz           0.1095           1.0           3.3846           9.0109           0.2553
swipeQuality           Ar           idf_vanilla_bdLSTM_1-2-pt1_sensorGrav_bdb.npz           0.1528           1.5           2.9039           4.5488           0.2706
dgbqa           ArCd           idf_vanilla_lgtranet_k3-5_1-1pt5-1_sensorGrav_bdb.npz           0.1547           1.0           3.0971           4.9446           0.1022
deltaDistance           ArCd           idf_vanilla_bdLSTM_1-pt5-1pt5_sensorGrav_bdb.npz           0.1552           1.0           3.2357           4.8223           0.0914
masterFace           ArCd           idf_vanilla_bdLSTM_1-pt5-1pt5_sensorGrav_bdb.npz           0.1238           1.0           3.366           9.0127           0.0914
swipeQuality           ArCd           idf_vanilla_bdLSTM_1-1pt5-1_sensorGrav_bdb.npz           0.1602           1.5           2.7547           4.8818           0.16
dgbqa           Ar_psi           idf_vanilla_lgtranet_k3-5_1-pt5-pt1_sensorGrav_bdb.npz           0.1516           1.0           3.2463           4.774           0.146
deltaDistance           Ar_psi           idf_vanilla_bdLSTM_1-pt5-pt5_sensorGrav_bdb.npz           0.1517           1.0           3.0339           4.8908           0.1556
masterFace           Ar_psi           idf_vanilla_lgtranet_k3-5_1-pt5-pt1_sensorGrav_bdb.npz           0.1248           1.5           2.5           3.9734           0.146
swipeQuality           Ar_psi           idf_vanilla_bdLSTM_1-2-pt1_sensorGrav_bdb.npz           0.1528           1.5           2.9039           4.5488           0.2706
dgbqa           Cd_psi           idf_vanilla_bdLSTM_1-pt5-1pt5_sensorGrav_bdb.npz           0.1448           1.0           3.1115           5.0386           0.0914
deltaDistance           Cd_psi           idf_vanilla_bdLSTM_1-pt5-1pt5_sensorGrav_bdb.npz           0.1552           1.0           3.2357           4.8223           0.0914
masterFace           Cd_psi           idf_vanilla_lgtranet_k3-5_1-1pt5-1pt5_sensorGrav_bdb.npz           0.1294           1.5           2.5           3.9734           0.0987
