Quantifier             Metric             selectedModel                                  nAr*             r             R             Psi             Cd
dgbqa                   Ar*     idf_vanilla_bdLSTM_1-1-1pt5_sensorGyro_bdb.npz           0.0893           1.5           2.0941           3.0554           0.0965
deltaDistance           Ar*     idf_vanilla_lgtranet_k3-5_1-1pt5-1pt5_sensorGyro_bdb.npz  0.1001           1.5           2.479           3.3711           0.1398
masterFace              Ar*     idf_vanilla_lgtranet_k3-5_1-pt5-1_sensorGyro_bdb.npz      0.1274           1.5           2.5           3.3923           0.1321
genCapacity             Ar*     idf_vanilla_lgtranet_k3-5_1-pt5-1_sensorGyro_bdb.npz     0.0971           1.75           2.067           3.2496           0.1321
swipeQuality           Ar*     idf_vanilla_bdLSTM_1-pt5-pt1_sensorGyro_bdb.npz           0.4304           1.0           3.7024           2.6411           0.2465

dgbqa           r     idf_vanilla_lgtranet_k3-5_1-1pt5-pt5_sensorGyro_bdb.npz           0.0847           1.5           2.0461           2.9919           0.146
deltaDistance           r     idf_vanilla_lgtranet_k3-5_1-pt5-pt1_sensorGyro_bdb.npz           0.0925           1.5           2.4423           3.3017           0.2042
masterFace           r     idf_vanilla_lgtranet_k3-5_1-pt5-pt1_sensorGyro_bdb.npz           0.1207           1.5           2.5           3.3923           0.2042
genCapacity           r     idf_vanilla_bdLSTM_1-pt5-pt5_sensorGyro_bdb.npz           0.0852           1.5           2.067           3.2496           0.1638
swipeQuality           r     idf_vanilla_bdLSTM_1-pt5-pt1_sensorGyro_bdb.npz           0.4304           1.0           3.7024           2.6411           0.2465
dgbqa           R     idf_vanilla_bdLSTM_1-1-1pt5_sensorGyro_bdb.npz           0.0893           1.5           2.0941           3.0554           0.0965
deltaDistance           R     idf_vanilla_lgtranet_k3-5_1-1pt5-1pt5_sensorGyro_bdb.npz           0.1001           1.5           2.479           3.3711           0.1398
masterFace           R     idf_vanilla_lgtranet_k3-5_1-pt5-pt1_sensorGyro_bdb.npz           0.1207           1.5           2.5           3.3923           0.2042
genCapacity           R     idf_vanilla_bdLSTM_1-1-1_sensorGyro_bdb.npz           0.0847           1.5           2.067           3.2496           0.1712
swipeQuality           R     idf_vanilla_bdLSTM_1-pt5-pt1_sensorGyro_bdb.npz           0.4304           1.0           3.7024           2.6411           0.2465
dgbqa           psi     idf_vanilla_bdLSTM_1-1-pt1_sensorGyro_bdb.npz           0.0388           2.0           1.7716           2.5731           0.2405
deltaDistance           psi     idf_vanilla_lgtranet_k3-5_1-1pt5-pt1_sensorGyro_bdb.npz           0.0406           2.0           1.745           2.5546           0.1579
masterFace           psi     idf_vanilla_lgtranet_k3-5_1-pt5-pt1_sensorGyro_bdb.npz           0.1207           1.5           2.5           3.3923           0.2042
genCapacity           psi     idf_vanilla_bdLSTM_1-1-1_sensorGyro_bdb.npz           0.0847           1.5           2.067           3.2496           0.1712
swipeQuality           psi     idf_vanilla_lgtranet_k3-5_1-2-pt1_sensorGyro_bdb.npz           0.0426           2.0           1.7584           2.4643           0.1398
dgbqa           Ar     idf_vanilla_bdLSTM_1-1-1pt5_sensorGyro_bdb.npz           0.0893           1.5           2.0941           3.0554           0.0965
deltaDistance           Ar     idf_vanilla_lgtranet_k3-5_1-1pt5-1pt5_sensorGyro_bdb.npz           0.1001           1.5           2.479           3.3711           0.1398
masterFace           Ar     idf_vanilla_lgtranet_k3-5_1-pt5-pt1_sensorGyro_bdb.npz           0.1207           1.5           2.5           3.3923           0.2042
genCapacity           Ar     idf_vanilla_lgtranet_k3-5_1-pt5-1_sensorGyro_bdb.npz           0.0971           1.75           2.067           3.2496           0.1321
swipeQuality           Ar     idf_vanilla_bdLSTM_1-pt5-pt1_sensorGyro_bdb.npz           0.4304           1.0           3.7024           2.6411           0.2465
dgbqa           ArCd     idf_vanilla_bdLSTM_1-1-1pt5_sensorGyro_bdb.npz           0.0893           1.5           2.0941           3.0554           0.0965
deltaDistance           ArCd     idf_vanilla_lgtranet_k3-5_1-1pt5-1pt5_sensorGyro_bdb.npz           0.1001           1.5           2.479           3.3711           0.1398
masterFace           ArCd     idf_vanilla_lgtranet_k3-5_1-pt5-1_sensorGyro_bdb.npz           0.1274           1.5           2.5           3.3923           0.1321
genCapacity           ArCd     idf_vanilla_lgtranet_k3-5_1-pt5-1_sensorGyro_bdb.npz           0.0971           1.75           2.067           3.2496           0.1321
swipeQuality           ArCd     idf_vanilla_bdLSTM_1-pt5-pt1_sensorGyro_bdb.npz           0.4304           1.0           3.7024           2.6411           0.2465
dgbqa           Ar_psi     idf_vanilla_bdLSTM_1-1-1pt5_sensorGyro_bdb.npz           0.0893           1.5           2.0941           3.0554           0.0965
deltaDistance           Ar_psi     idf_vanilla_lgtranet_k3-5_1-1pt5-1pt5_sensorGyro_bdb.npz           0.1001           1.5           2.479           3.3711           0.1398
masterFace           Ar_psi     idf_vanilla_lgtranet_k3-5_1-pt5-pt1_sensorGyro_bdb.npz           0.1207           1.5           2.5           3.3923           0.2042
genCapacity           Ar_psi     idf_vanilla_lgtranet_k3-5_1-pt5-1_sensorGyro_bdb.npz           0.0971           1.75           2.067           3.2496           0.1321
swipeQuality           Ar_psi     idf_vanilla_bdLSTM_1-pt5-pt1_sensorGyro_bdb.npz           0.4304           1.0           3.7024           2.6411           0.2465
dgbqa           Cd_psi     idf_vanilla_bdLSTM_1-1-1pt5_sensorGyro_bdb.npz           0.0893           1.5           2.0941           3.0554           0.0965
deltaDistance           Cd_psi     idf_vanilla_bdLSTM_1-1-1pt5_sensorGyro_bdb.npz           0.0925           1.5           2.1375           2.8844           0.0965
masterFace           Cd_psi     idf_vanilla_lgtranet_k3-5_1-pt5-1_sensorGyro_bdb.npz           0.1274           1.5           2.5           3.3923           0.1321
genCapacity           Cd_psi     idf_vanilla_bdLSTM_1-1-1pt5_sensorGyro_bdb.npz           0.0896           1.5           2.067           3.2496           0.0965
swipeQuality           Cd_psi     idf_vanilla_lgtranet_k3-5_1-2-pt1_sensorGyro_bdb.npz           0.0426           2.0           1.7584           2.4643           0.1398
dgbqa           euclid     idf_vanilla_bdLSTM_1-1-1pt5_sensorGyro_bdb.npz           0.0893           1.5           2.0941           3.0554           0.0965
deltaDistance           euclid     idf_vanilla_lgtranet_k3-5_1-1pt5-1pt5_sensorGyro_bdb.npz           0.1001           1.5           2.479           3.3711           0.1398
masterFace           euclid     idf_vanilla_lgtranet_k3-5_1-pt5-pt1_sensorGyro_bdb.npz           0.1207           1.5           2.5           3.3923           0.2042
genCapacity           euclid     idf_vanilla_bdLSTM_1-1-1_sensorGyro_bdb.npz           0.0847           1.5           2.067           3.2496           0.1712
swipeQuality           euclid     idf_vanilla_bdLSTM_1-pt5-pt1_sensorGyro_bdb.npz           0.4304           1.0           3.7024           2.6411           0.2465
dgbqa           corr     idf_vanilla_bdLSTM_1-1-1pt5_sensorGyro_bdb.npz           0.0893           1.5           2.0941           3.0554           0.0965
deltaDistance           corr     idf_vanilla_lgtranet_k3-5_1-1pt5-1pt5_sensorGyro_bdb.npz           0.1001           1.5           2.479           3.3711           0.1398
masterFace           corr     idf_vanilla_lgtranet_k3-5_1-pt5-pt1_sensorGyro_bdb.npz           0.1207           1.5           2.5           3.3923           0.2042
genCapacity           corr     idf_vanilla_bdLSTM_1-1-1_sensorGyro_bdb.npz           0.0847           1.5           2.067           3.2496           0.1712
swipeQuality           corr     idf_vanilla_bdLSTM_1-pt5-pt1_sensorGyro_bdb.npz           0.4304           1.0           3.7024           2.6411           0.2465
dgbqa           DCG     idf_vanilla_bdLSTM_1-1-1pt5_sensorGyro_bdb.npz           0.0893           1.5           2.0941           3.0554           0.0965
deltaDistance           DCG     idf_vanilla_lgtranet_k3-5_1-1pt5-1pt5_sensorGyro_bdb.npz           0.1001           1.5           2.479           3.3711           0.1398
masterFace           DCG     idf_vanilla_bdLSTM_1-2-1_sensorGyro_bdb.npz           0.0326           1.5           1.6352           6.4977           0.2153
genCapacity           DCG     idf_vanilla_bdLSTM_1-1-1_sensorGyro_bdb.npz           0.0847           1.5           2.067           3.2496           0.1712
swipeQuality           DCG     idf_vanilla_bdLSTM_1-pt5-pt1_sensorGyro_bdb.npz           0.4304           1.0           3.7024           2.6411           0.2465
dgbqa           Kendall     idf_vanilla_lgtranet_k3-5_1-1pt5-pt5_sensorGyro_bdb.npz           0.0847           1.5           2.0461           2.9919           0.146
deltaDistance           Kendall     idf_vanilla_lgtranet_k3-5_1-pt5-pt1_sensorGyro_bdb.npz           0.0925           1.5           2.4423           3.3017           0.2042
masterFace           Kendall     idf_vanilla_bdLSTM_1-pt5-pt1_sensorGyro_bdb.npz           0.0318           1.5           1.634           6.4964           0.2465
genCapacity           Kendall     idf_vanilla_bdLSTM_1-pt5-pt5_sensorGyro_bdb.npz           0.0852           1.5           2.067           3.2496           0.1638
swipeQuality           Kendall     idf_vanilla_lgtranet_k3-5_1-pt5-pt5_sensorGyro_bdb.npz           0.0894           1.5           2.1304           2.885           0.1387
dgbqa           ERR     idf_vanilla_bdLSTM_1-pt5-1pt5_sensorGyro_bdb.npz           0.0871           1.5           2.0347           2.977           0.1051
deltaDistance           ERR     idf_vanilla_lgtranet_k3-5_1-1pt5-1pt5_sensorGyro_bdb.npz           0.1001           1.5           2.479           3.3711           0.1398
masterFace           ERR     idf_vanilla_lgtranet_k3-5_1-pt5-pt1_sensorGyro_bdb.npz           0.1207           1.5           2.5           3.3923           0.2042
genCapacity           ERR     idf_vanilla_bdLSTM_1-1-1_sensorGyro_bdb.npz           0.0847           1.5           2.067           3.2496           0.1712
swipeQuality           ERR     idf_vanilla_bdLSTM_1-pt5-pt1_sensorGyro_bdb.npz           0.4304           1.0           3.7024           2.6411           0.2465
dgbqa           U     idf_vanilla_bdLSTM_1-1-1pt5_sensorGyro_bdb.npz           0.0893           1.5           2.0941           3.0554           0.0965
deltaDistance           U     idf_vanilla_lgtranet_k3-5_1-1pt5-1pt5_sensorGyro_bdb.npz           0.1001           1.5           2.479           3.3711           0.1398
masterFace           U     idf_vanilla_lgtranet_k3-5_1-pt5-pt1_sensorGyro_bdb.npz           0.1207           1.5           2.5           3.3923           0.2042
genCapacity           U     idf_vanilla_bdLSTM_1-1-1_sensorGyro_bdb.npz           0.0847           1.5           2.067           3.2496           0.1712
swipeQuality           U     idf_vanilla_bdLSTM_1-pt5-pt1_sensorGyro_bdb.npz           0.4304           1.0           3.7024           2.6411           0.2465
dgbqa           GRE     idf_vanilla_lgtranet_k3-5_1-1pt5-pt5_sensorGyro_bdb.npz           0.0847           1.5           2.0461           2.9919           0.146
deltaDistance           GRE     idf_vanilla_lgtranet_k3-5_1-pt5-pt1_sensorGyro_bdb.npz           0.0925           1.5           2.4423           3.3017           0.2042
masterFace           GRE     idf_vanilla_lgtranet_k3-5_1-pt5-pt1_sensorGyro_bdb.npz           0.1207           1.5           2.5           3.3923           0.2042
genCapacity           GRE     idf_vanilla_lgtranet_k3-5_1-pt5-pt1_sensorGyro_bdb.npz           0.092           1.75           2.067           3.2496           0.2042
swipeQuality           GRE     idf_vanilla_bdLSTM_1-pt5-pt1_sensorGyro_bdb.npz           0.4304           1.0           3.7024           2.6411           0.2465
dgbqa           infAp     idf_vanilla_lgtranet_k3-5_1-1pt5-pt5_sensorGyro_bdb.npz           0.0847           1.5           2.0461           2.9919           0.146
deltaDistance           infAp     idf_vanilla_lgtranet_k3-5_1-pt5-pt1_sensorGyro_bdb.npz           0.0925           1.5           2.4423           3.3017           0.2042
masterFace           infAp     idf_vanilla_lgtranet_k3-5_1-pt5-pt1_sensorGyro_bdb.npz           0.1207           1.5           2.5           3.3923           0.2042
genCapacity           infAp     idf_vanilla_lgtranet_k3-5_1-pt5-pt1_sensorGyro_bdb.npz           0.092           1.75           2.067           3.2496           0.2042
swipeQuality           infAp     idf_vanilla_bdLSTM_1-pt5-pt5_sensorGyro_bdb.npz           0.2169           1.0           2.5374           2.965           0.1638
dgbqa           NegRel     idf_vanilla_bdLSTM_1-pt5-pt5_sensorGyro_bdb.npz           0.0818           1.5           1.9755           2.8999           0.1638
deltaDistance           NegRel     idf_vanilla_lgtranet_k3-5_1-2-1pt5_sensorGyro_bdb.npz           0.0862           1.5           2.1073           3.0702           0.1481
masterFace           NegRel     idf_vanilla_bdLSTM_1-2-pt1_sensorGyro_bdb.npz           0.0164           2.0           1.5625           6.0815           0.2477
genCapacity           NegRel     idf_vanilla_bdLSTM_1-2-pt5_sensorGyro_bdb.npz           0.0444           2.0           2.067           3.2496           0.1827
swipeQuality           NegRel     idf_vanilla_lgtranet_k3-5_1-2-pt1_sensorGyro_bdb.npz           0.0426           2.0           1.7584           2.4643           0.1398
dgbqa           RPP     idf_vanilla_lgtranet_k3-5_1-1pt5-1_sensorGyro_bdb.npz           0.0421           2.0           1.9456           2.8693           0.1497
deltaDistance           RPP     idf_vanilla_bdLSTM_1-1pt5-pt1_sensorGyro_bdb.npz           0.0392           2.0           1.97           2.9004           0.2547
masterFace           RPP     idf_vanilla_lgtranet_k3-5_1-pt5-pt1_sensorGyro_bdb.npz           0.1207           1.5           2.5           3.3923           0.2042
genCapacity           RPP     idf_vanilla_bdLSTM_1-1-1_sensorGyro_bdb.npz           0.0847           1.5           2.067           3.2496           0.1712
swipeQuality           RPP     idf_vanilla_bdLSTM_1-pt5-pt1_sensorGyro_bdb.npz           0.4304           1.0           3.7024           2.6411           0.2465
dgbqa           relEnt     idf_vanilla_bdLSTM_1-1-1pt5_sensorGyro_bdb.npz           0.0893           1.5           2.0941           3.0554           0.0965
deltaDistance           relEnt     idf_vanilla_lgtranet_k3-5_1-1pt5-1pt5_sensorGyro_bdb.npz           0.1001           1.5           2.479           3.3711           0.1398
masterFace           relEnt     idf_vanilla_lgtranet_k3-5_1-pt5-1_sensorGyro_bdb.npz           0.1274           1.5           2.5           3.3923           0.1321
genCapacity           relEnt     idf_vanilla_bdLSTM_1-1-1pt5_sensorGyro_bdb.npz           0.0896           1.5           2.067           3.2496           0.0965
swipeQuality           relEnt     idf_vanilla_bdLSTM_1-pt5-pt1_sensorGyro_bdb.npz           0.4304           1.0           3.7024           2.6411           0.2465
