Quantifier             Metric             selectedModel                                             nAr*             r             R             Psi             Cd
dgbqa                   Ar*           ms_skateformer_1-pt5-pt01-multiStepmin3_ntu120.npz           0.3618           0.5           3.668           3.3698           0.1831
deltaDistance           Ar*           ms_skateformer_1-1-pt5-multiStepmin3_ntu120.npz           0.3606           1.0           3.6027           3.8254           0.1624
masterFace              Ar*           ms_skateformer_1-pt5-pt5-multiStepmin3_ntu120.npz           0.251           0.5           3.3661           8.9159           0.1384
genCapacity             Ar*           ms_skateformer_1-pt5-pt01-multiStepmin3_ntu120.npz           0.6853           0.0           3.8575           2.9411           0.1831
swipeQuality           Ar*           ms_hcn_1-pt5-pt01-multiStepmin3_ntu120.npz                     0.6372           0.5           4.0045           1.6506           0.1037

dgbqa           r           ms_skateformer_1-pt5-pt01-multiStepmin3_ntu120.npz           0.3618           0.5           3.668           3.3698           0.1831
deltaDistance           r           ms_hcn_1-2-pt05-multiStepmin3_ntu120.npz           0.3107           0.5           3.1627           4.1824           0.2585
masterFace           r           ms_skateformer_1-pt5-pt5-multiStepmin3_ntu120.npz           0.251           0.5           3.3661           8.9159           0.1384
genCapacity           r           ms_skateformer_1-pt5-pt01-multiStepmin3_ntu120.npz           0.6853           0.0           3.8575           2.9411           0.1831
swipeQuality           r           ms_hcn_1-pt5-pt01-multiStepmin3_ntu120.npz           0.6372           0.5           4.0045           1.6506           0.1037
dgbqa           R           ms_skateformer_1-pt5-pt5-multiStepmin3_ntu120.npz           0.1933           1.0           3.7822           3.464           0.1384
deltaDistance           R           ms_skateformer_1-1-pt5-multiStepmin3_ntu120.npz           0.3606           1.0           3.6027           3.8254           0.1624
masterFace           R           ms_skateformer_1-1-pt01-multiStepmin3_ntu120.npz           0.1622           1.0           3.4171           8.9677           0.2092
genCapacity           R           ms_skateformer_1-2-1-multiStepmin3_ntu120.npz           0.4358           0.5           4.0025           2.8655           0.2015
swipeQuality           R           ms_hcn_1-pt5-pt01-multiStepmin3_ntu120.npz           0.6372           0.5           4.0045           1.6506           0.1037
dgbqa           psi           ms_hcn_1-pt5-1-multiStepmin3_ntu120.npz           0.1677           1.5           1.8064           2.1315           0.1262
deltaDistance           psi           ms_hcn_1-pt5-1-multiStepmin3_ntu120.npz           0.0495           2.0           0.9719           3.1642           0.1262
masterFace           psi           ms_hcn_1-pt5-pt01-multiStepmin3_ntu120.npz           0.187           1.5           2.5           3.7025           0.1037
genCapacity           psi           ms_hcn_1-pt5-1pt5-multiStepmin3_ntu120.npz           0.05           2.0           1.2328           2.3731           0.0918
swipeQuality           psi           ms_hcn_1-pt5-pt01-multiStepmin3_ntu120.npz           0.6372           0.5           4.0045           1.6506           0.1037
dgbqa           Ar           ms_skateformer_1-pt5-pt01-multiStepmin3_ntu120.npz           0.3618           0.5           3.668           3.3698           0.1831
deltaDistance           Ar           ms_skateformer_1-1-pt5-multiStepmin3_ntu120.npz           0.3606           1.0           3.6027           3.8254           0.1624
masterFace           Ar           ms_skateformer_1-pt5-pt5-multiStepmin3_ntu120.npz           0.251           0.5           3.3661           8.9159           0.1384
genCapacity           Ar           ms_skateformer_1-pt5-pt01-multiStepmin3_ntu120.npz           0.6853           0.0           3.8575           2.9411           0.1831
swipeQuality           Ar           ms_hcn_1-pt5-pt01-multiStepmin3_ntu120.npz           0.6372           0.5           4.0045           1.6506           0.1037
dgbqa           ArCd           ms_skateformer_1-pt5-pt01-multiStepmin3_ntu120.npz           0.3618           0.5           3.668           3.3698           0.1831
deltaDistance           ArCd           ms_skateformer_1-1-pt5-multiStepmin3_ntu120.npz           0.3606           1.0           3.6027           3.8254           0.1624
masterFace           ArCd           ms_skateformer_1-pt5-pt5-multiStepmin3_ntu120.npz           0.251           0.5           3.3661           8.9159           0.1384
genCapacity           ArCd           ms_skateformer_1-pt5-pt01-multiStepmin3_ntu120.npz           0.6853           0.0           3.8575           2.9411           0.1831
swipeQuality           ArCd           ms_hcn_1-pt5-pt01-multiStepmin3_ntu120.npz           0.6372           0.5           4.0045           1.6506           0.1037
dgbqa           Ar_psi           ms_skateformer_1-pt5-pt01-multiStepmin3_ntu120.npz           0.3618           0.5           3.668           3.3698           0.1831
deltaDistance           Ar_psi           ms_skateformer_1-1-pt5-multiStepmin3_ntu120.npz           0.3606           1.0           3.6027           3.8254           0.1624
masterFace           Ar_psi           ms_skateformer_1-pt5-pt5-multiStepmin3_ntu120.npz           0.251           0.5           3.3661           8.9159           0.1384
genCapacity           Ar_psi           ms_skateformer_1-pt5-pt01-multiStepmin3_ntu120.npz           0.6853           0.0           3.8575           2.9411           0.1831
swipeQuality           Ar_psi           ms_hcn_1-pt5-pt01-multiStepmin3_ntu120.npz           0.6372           0.5           4.0045           1.6506           0.1037
dgbqa           Cd_psi           ms_hcn_1-pt5-1-multiStepmin3_ntu120.npz           0.1677           1.5           1.8064           2.1315           0.1262
deltaDistance           Cd_psi           ms_hcn_1-pt5-1pt5-multiStepmin3_ntu120.npz           0.0498           2.0           0.945           3.1843           0.0918
masterFace           Cd_psi           ms_hcn_1-pt5-pt5-multiStepmin3_ntu120.npz           0.1907           1.5           2.5           3.7025           0.0773
genCapacity           Cd_psi           ms_hcn_1-pt5-1pt5-multiStepmin3_ntu120.npz           0.05           2.0           1.2328           2.3731           0.0918
