Quantifier             Metric             selectedModel                                  nAr*             r             R             Psi             Cd
dgbqa           Ar*           ms_vivit_1-pt01_scut.npz           0.4487           0.6667           5.1394           1.7846           0.502
deltaDistance           Ar*           ms_mf_1-1_scut.npz           0.4248           0.6667           5.4068           1.81           0.48
masterFace           Ar*           ms_mvit_1-1_scut.npz           0.5709           0.0           5.556           1.6178           0.4693
genCapacity           Ar*           ms_vivit_1-pt01_scut.npz           0.4928           0.6667           4.8693           2.5293           0.502
swipeQuality           Ar*           ms_mvit_1pt5-pt05_scut.npz           0.2718           1.3333           4.5159           2.8687           0.39

dgbqa           r           ms_mvit_pt5-pt5_scut.npz           0.3824           0.6667           4.8716           2.033           0.4356
deltaDistance           r           ms_mf_1-1_scut.npz           0.4248           0.6667           5.4068           1.81           0.48
masterFace           r           ms_mvit_1-1_scut.npz           0.5709           0.0           5.556           1.6178           0.4693
genCapacity           r           ms_mvit_1-pt5_scut.npz           0.4066           0.6667           4.9075           2.5171           0.5171
swipeQuality           r           ms_mf_1pt5-pt05_scut.npz           0.2443           1.0           4.955           3.7869           0.5268
dgbqa           R           ms_mvit_1-pt01_scut.npz           0.2637           1.0           5.3086           2.7253           0.4959
deltaDistance           R           ms_mf_1-1_scut.npz           0.4248           0.6667           5.4068           1.81           0.48
masterFace           R           ms_mvit_1-1_scut.npz           0.5709           0.0           5.556           1.6178           0.4693
genCapacity           R           ms_mvit_1pt5-1_scut.npz           0.4072           1.0           4.913           2.5485           0.4957
swipeQuality           R           ms_mf_pt5-pt05_scut.npz           0.1261           1.3333           5.0028           3.9987           0.496
dgbqa           psi           ms_mvit_pt5-pt05_scut.npz           0.3264           1.0           4.988           1.2337           0.508
deltaDistance           psi           ms_mf_pt5-pt5_scut.npz           0.1999           2.0           3.5669           1.1226           0.4442
masterFace           psi           DGBQA_CGID_Res3D-ViViT_1-1_SCUT.npz           0.3876           0.6667           5.3787           0.7946           0.4891
genCapacity           psi           ms_mvit_pt5-1_scut.npz           0.2708           1.3333           3.6726           1.3199           0.4275
swipeQuality           psi           ms_mvit_pt5-1_scut.npz           0.148           1.3333           4.366           2.6208           0.4275
dgbqa           Ar           ms_vivit_1-pt01_scut.npz           0.4487           0.6667           5.1394           1.7846           0.502
deltaDistance           Ar           ms_mf_1-1_scut.npz           0.4248           0.6667           5.4068           1.81           0.48
masterFace           Ar           ms_mvit_1-1_scut.npz           0.5709           0.0           5.556           1.6178           0.4693
genCapacity           Ar           ms_vivit_1-pt01_scut.npz           0.4928           0.6667           4.8693           2.5293           0.502
swipeQuality           Ar           ms_vivit_1pt5-pt05_scut.npz           0.2589           1.3333           4.4052           3.6124           0.5481
dgbqa           ArCd           ms_vivit_1-pt01_scut.npz           0.4487           0.6667           5.1394           1.7846           0.502
deltaDistance           ArCd           ms_mf_1-1_scut.npz           0.4248           0.6667           5.4068           1.81           0.48
masterFace           ArCd           ms_mvit_1-1_scut.npz           0.5709           0.0           5.556           1.6178           0.4693
genCapacity           ArCd           ms_vivit_1-pt01_scut.npz           0.4928           0.6667           4.8693           2.5293           0.502
swipeQuality           ArCd           ms_mvit_1pt5-pt05_scut.npz           0.2718           1.3333           4.5159           2.8687           0.39
dgbqa           Ar_psi           ms_vivit_1-pt01_scut.npz           0.4487           0.6667           5.1394           1.7846           0.502
deltaDistance           Ar_psi           ms_mf_1-1_scut.npz           0.4248           0.6667           5.4068           1.81           0.48
masterFace           Ar_psi           ms_mvit_1-1_scut.npz           0.5709           0.0           5.556           1.6178           0.4693
genCapacity           Ar_psi           ms_vivit_1-pt01_scut.npz           0.4928           0.6667           4.8693           2.5293           0.502
swipeQuality           Ar_psi           ms_vivit_1pt5-pt05_scut.npz           0.2589           1.3333           4.4052           3.6124           0.5481
dgbqa           Cd_psi           ms_mvit_pt5-pt05_scut.npz           0.3264           1.0           4.988           1.2337           0.508
deltaDistance           Cd_psi           ms_mf_pt5-pt5_scut.npz           0.1999           2.0           3.5669           1.1226           0.4442
masterFace           Cd_psi           DGBQA_CGID_Res3D-ViViT_1-1_SCUT.npz           0.3876           0.6667           5.3787           0.7946           0.4891
genCapacity           Cd_psi           ms_mvit_pt5-1_scut.npz           0.2708           1.3333           3.6726           1.3199           0.4275
swipeQuality           Cd_psi           ms_mvit_1pt5-pt05_scut.npz           0.2718           1.3333           4.5159           2.8687           0.39
dgbqa           euclid           ms_mvit_pt5-pt05_scut.npz           0.3264           1.0           4.988           1.2337           0.508
deltaDistance           euclid           ms_mf_1-1_scut.npz           0.4248           0.6667           5.4068           1.81           0.48
masterFace           euclid           DGBQA_CGID_Res3D-ViViT_1-1_SCUT.npz           0.3876           0.6667           5.3787           0.7946           0.4891
genCapacity           euclid           ms_mf_pt5-1_scut.npz           0.2914           1.0           4.4341           2.2326           0.521
swipeQuality           euclid           ms_mvit_pt5-1_scut.npz           0.148           1.3333           4.366           2.6208           0.4275
dgbqa           corr           ms_mvit_pt5-pt05_scut.npz           0.3264           1.0           4.988           1.2337           0.508
deltaDistance           corr           ms_mf_1-1_scut.npz           0.4248           0.6667           5.4068           1.81           0.48
masterFace           corr           DGBQA_CGID_Res3D-ViViT_1-1_SCUT.npz           0.3876           0.6667           5.3787           0.7946           0.4891
genCapacity           corr           ms_mf_pt5-1_scut.npz           0.2914           1.0           4.4341           2.2326           0.521
swipeQuality           corr           ms_mvit_pt5-1_scut.npz           0.148           1.3333           4.366           2.6208           0.4275
dgbqa           DCG           ms_mvit_pt5-pt01_scut.npz           0.3058           1.0           4.9762           2.2975           0.487
deltaDistance           DCG           ms_mvit_1-pt5_scut.npz           0.2675           1.3333           4.2554           3.183           0.5171
masterFace           DCG           ms_mf_1-pt5_scut.npz           0.3138           1.3333           4.8457           2.6705           0.4623
genCapacity           DCG           ms_mvit_1-pt5_scut.npz           0.4066           0.6667           4.9075           2.5171           0.5171
swipeQuality           DCG           DGBQA_CGID_Res3D-ViViT_1-1pt5_SCUT.npz           0.2577           1.3333           4.4449           2.9957           0.5204
dgbqa           Kendall           ms_mf_pt5-pt05_scut.npz           0.0651           2.6667           1.8271           3.0552           0.496
deltaDistance           Kendall           ms_mvit_1pt5-1_scut.npz           0.0279           3.0           2.127           3.1128           0.4957
masterFace           Kendall           DGBQA_CGID_Res3D-ViViT_1-pt5_SCUT.npz           0.0666           2.3333           3.8078           2.8302           0.5212
genCapacity           Kendall           ms_mvit_1-1_scut.npz           0.1713           2.0           3.0891           1.55           0.4693
swipeQuality           Kendall           ms_mvit_pt5-pt5_scut.npz           0.0674           2.6667           2.5866           3.1355           0.4356
dgbqa           ERR           ms_mvit_pt5-pt01_scut.npz           0.3058           1.0           4.9762           2.2975           0.487
deltaDistance           ERR           ms_mvit_1-pt5_scut.npz           0.2675           1.3333           4.2554           3.183           0.5171
masterFace           ERR           ms_mf_1-pt5_scut.npz           0.3138           1.3333           4.8457           2.6705           0.4623
genCapacity           ERR           ms_mvit_1pt5-1_scut.npz           0.4072           1.0           4.913           2.5485           0.4957
swipeQuality           ERR           DGBQA_CGID_Res3D-ViViT_1-1pt5_SCUT.npz           0.2577           1.3333           4.4449           2.9957           0.5204
dgbqa           U           ms_mvit_1-pt01_scut.npz           0.2637           1.0           5.3086           2.7253           0.4959
deltaDistance           U           ms_mf_1-1_scut.npz           0.4248           0.6667           5.4068           1.81           0.48
masterFace           U           ms_mvit_1-1_scut.npz           0.5709           0.0           5.556           1.6178           0.4693
genCapacity           U           ms_mvit_1pt5-1_scut.npz           0.4072           1.0           4.913           2.5485           0.4957
swipeQuality           U           ms_mf_pt5-pt05_scut.npz           0.1261           1.3333           5.0028           3.9987           0.496
dgbqa           GRE           ms_mvit_pt5-pt5_scut.npz           0.3824           0.6667           4.8716           2.033           0.4356
deltaDistance           GRE           ms_mf_1-1_scut.npz           0.4248           0.6667           5.4068           1.81           0.48
masterFace           GRE           ms_mvit_1-1_scut.npz           0.5709           0.0           5.556           1.6178           0.4693
genCapacity           GRE           ms_mvit_1-pt5_scut.npz           0.4066           0.6667           4.9075           2.5171           0.5171
swipeQuality           GRE           ms_mf_1pt5-pt05_scut.npz           0.2443           1.0           4.955           3.7869           0.5268
dgbqa           infAp           DGBQA_CGID_Res3D-ViViT_1pt5-1_SCUT.npz           0.3134           0.6667           5.0129           2.4823           0.5659
deltaDistance           infAp           ms_mf_1-1_scut.npz           0.4248           0.6667           5.4068           1.81           0.48
masterFace           infAp           ms_mvit_1-1_scut.npz           0.5709           0.0           5.556           1.6178           0.4693
genCapacity           infAp           ms_mvit_1-pt5_scut.npz           0.4066           0.6667           4.9075           2.5171           0.5171
swipeQuality           infAp           ms_mf_pt5-pt05_scut.npz           0.1261           1.3333           5.0028           3.9987           0.496
dgbqa           NegRel           ms_mvit_pt5-pt5_scut.npz           0.3824           0.6667           4.8716           2.033           0.4356
deltaDistance           NegRel           ms_mf_pt5-1_scut.npz           0.1913           1.6667           4.0672           3.297           0.521
masterFace           NegRel           ms_mf_pt5-pt05_scut.npz           0.2535           1.6667           4.3889           2.7058           0.496
genCapacity           NegRel           DGBQA_CGID_Res3D-ViViT_1-pt5_SCUT.npz           0.36           1.3333           4.6327           3.33           0.5212
swipeQuality           NegRel           ms_mf_1pt5-pt05_scut.npz           0.2443           1.0           4.955           3.7869           0.5268
dgbqa           RPP           ms_mf_pt5-1_scut.npz           0.4201           0.6667           5.2355           2.3072           0.521
deltaDistance           RPP           ms_mf_1-1_scut.npz           0.4248           0.6667           5.4068           1.81           0.48
masterFace           RPP           ms_mvit_1-1_scut.npz           0.5709           0.0           5.556           1.6178           0.4693
