Quantifier      Metric                    selectedModel                                  nAr*             r             R             Psi             Cd
dgbqa           Ar*          idf_vanilla_bdLSTM_1-1pt5-1_sensorAccl_bdb.npz             0.8481           0.0           4.0991           0.1393           0.171
dgbqa           R          idf_vanilla_bdLSTM_1-1-pt1_sensorAccl_bdb.npz                0.6506           0.0           4.1443           0.7997           0.2352
dgbqa           psi          idf_vanilla_bdLSTM_1-1pt5-1_sensorAccl_bdb.npz             0.8481           0.0           4.0991           0.1393           0.171
dgbqa           r          idf_vanilla_lgtranet_k3-5_1-pt5-pt1_sensorAccl_bdb.npz        0.6656           0.0           4.0807           0.7603           0.1938
dgbqa           Ar          idf_vanilla_bdLSTM_1-1pt5-1_sensorAccl_bdb.npz              0.8481           0.0           4.0991           0.1393           0.171
dgbqa           ArCd          idf_vanilla_bdLSTM_1-pt5-1pt5_sensorAccl_bdb.npz           0.7886           0.0           4.0976           0.4489           0.0926
dgbqa           Ar_psi          idf_vanilla_bdLSTM_1-1pt5-1_sensorAccl_bdb.npz           0.8481           0.0           4.0991           0.1393           0.171
dgbqa           Cd_psi          idf_vanilla_bdLSTM_1-1pt5-1_sensorAccl_bdb.npz           0.8481           0.0           4.0991           0.1393           0.171
dgbqa           euclid          idf_vanilla_bdLSTM_1-1pt5-1_sensorAccl_bdb.npz           0.8481           0.0           4.0991           0.1393           0.171
dgbqa           corr          idf_vanilla_bdLSTM_1-1pt5-1_sensorAccl_bdb.npz             0.8481           0.0           4.0991           0.1393           0.171
dgbqa           DCG          idf_vanilla_bdLSTM_1-1pt5-1_sensorAccl_bdb.npz             0.8481           0.0           4.0991           0.1393           0.171
dgbqa           Kendall          idf_vanilla_bdLSTM_1-2-pt5_sensorAccl_bdb.npz           0.6059           0.5           4.085           0.4628           0.2022
dgbqa           ERR          idf_vanilla_bdLSTM_1-1pt5-1_sensorAccl_bdb.npz               0.8481           0.0           4.0991           0.1393           0.171
dgbqa           U          idf_vanilla_bdLSTM_1-1-pt1_sensorAccl_bdb.npz                 0.6506           0.0           4.1443           0.7997           0.2352
dgbqa           GRE          idf_vanilla_lgtranet_k3-5_1-pt5-pt1_sensorAccl_bdb.npz      0.6656           0.0           4.0807           0.7603           0.1938
dgbqa           infAp          idf_vanilla_lgtranet_k3-5_1-pt5-pt1_sensorAccl_bdb.npz     0.6656           0.0           4.0807           0.7603           0.1938
dgbqa           NegRel          idf_vanilla_lgtranet_k3-5_1-pt5-pt1_sensorAccl_bdb.npz    0.6656           0.0           4.0807           0.7603           0.1938
dgbqa           RPP          idf_vanilla_lgtranet_k3-5_1-pt5-pt5_sensorAccl_bdb.npz       0.6019           0.0           4.0756           1.2545           0.1839
dgbqa           relEnt          idf_vanilla_bdLSTM_1-2-1pt5_sensorAccl_bdb.npz             0.7814           0.0           4.1179           0.4876           0.0947

deltaDistance           Ar*          idf_vanilla_lgtranet_k3-5_1-1-1_sensorAccl_bdb.npz           0.8614           0.0           4.106           0.0774           0.1694
deltaDistance           R          idf_vanilla_bdLSTM_1-1-1pt5_sensorAccl_bdb.npz           0.8084           0.0           4.1506           0.4663           0.0966
deltaDistance           psi          idf_vanilla_lgtranet_k3-5_1-1-1_sensorAccl_bdb.npz           0.8614           0.0           4.106           0.0774           0.1694
deltaDistance           r          idf_vanilla_lgtranet_k3-5_1-pt5-1pt5_sensorAccl_bdb.npz           0.6762           0.0           4.1147           0.8478           0.1566
deltaDistance           Ar          idf_vanilla_bdLSTM_1-pt5-pt1_sensorAccl_bdb.npz           0.7635           0.0           4.1139           0.2245           0.2808
deltaDistance           ArCd          idf_vanilla_bdLSTM_1-1-1pt5_sensorAccl_bdb.npz           0.8084           0.0           4.1506           0.4663           0.0966
deltaDistance           Ar_psi          idf_vanilla_lgtranet_k3-5_1-1-1_sensorAccl_bdb.npz           0.8614           0.0           4.106           0.0774           0.1694
deltaDistance           Cd_psi          idf_vanilla_lgtranet_k3-5_1-1-1_sensorAccl_bdb.npz           0.8614           0.0           4.106           0.0774           0.1694
deltaDistance           euclid          idf_vanilla_lgtranet_k3-5_1-1-1_sensorAccl_bdb.npz           0.8614           0.0           4.106           0.0774           0.1694
deltaDistance           corr          idf_vanilla_lgtranet_k3-5_1-1-1_sensorAccl_bdb.npz           0.8614           0.0           4.106           0.0774           0.1694
deltaDistance           DCG          idf_vanilla_bdLSTM_1-pt5-pt5_sensorAccl_bdb.npz           0.6954           0.5           4.0556           0.3282           0.1725
deltaDistance           Kendall          idf_vanilla_lgtranet_k3-5_1-pt5-pt1_sensorAccl_bdb.npz           0.5693           0.5           3.9775           0.6996           0.1938
deltaDistance           ERR          idf_vanilla_bdLSTM_1-pt5-pt5_sensorAccl_bdb.npz           0.6954           0.5           4.0556           0.3282           0.1725
deltaDistance           U          idf_vanilla_bdLSTM_1-1-1pt5_sensorAccl_bdb.npz           0.8084           0.0           4.1506           0.4663           0.0966
deltaDistance           GRE          idf_vanilla_lgtranet_k3-5_1-pt5-1pt5_sensorAccl_bdb.npz           0.6762           0.0           4.1147           0.8478           0.1566
deltaDistance           infAp          idf_vanilla_lgtranet_k3-5_1-pt5-1pt5_sensorAccl_bdb.npz           0.6762           0.0           4.1147           0.8478           0.1566
deltaDistance           NegRel          idf_vanilla_lgtranet_k3-5_1-pt5-pt1_sensorAccl_bdb.npz           0.5693           0.5           3.9775           0.6996           0.1938
deltaDistance           RPP          idf_vanilla_bdLSTM_1-2-pt5_sensorAccl_bdb.npz           0.5383           0.0           3.9433           1.6595           0.2022
deltaDistance           relEnt          idf_vanilla_bdLSTM_1-1-1pt5_sensorAccl_bdb.npz           0.8084           0.0           4.1506           0.4663           0.0966

masterFace           Ar*          idf_vanilla_bdLSTM_1-pt5-1pt5_sensorAccl_bdb.npz           0.9316           0.0           5.0981           3.0036           0.0926
masterFace           R          idf_vanilla_bdLSTM_1-2-pt1_sensorAccl_bdb.npz           0.8166           0.0           5.1795           2.7784           0.2877
masterFace           psi          idf_vanilla_bdLSTM_1-2-pt1_sensorAccl_bdb.npz           0.8166           0.0           5.1795           2.7784           0.2877
masterFace           r          idf_vanilla_bdLSTM_1-pt5-pt1_sensorAccl_bdb.npz           0.809           0.0           5.0981           3.0036           0.2808
masterFace           Ar          idf_vanilla_bdLSTM_1-1pt5-pt1_sensorAccl_bdb.npz           0.809           0.0           5.1318           2.9121           0.2895
masterFace           ArCd          idf_vanilla_bdLSTM_1-pt5-1pt5_sensorAccl_bdb.npz           0.9316           0.0           5.0981           3.0036           0.0926
masterFace           Ar_psi          idf_vanilla_bdLSTM_1-2-pt1_sensorAccl_bdb.npz           0.8166           0.0           5.1795           2.7784           0.2877
masterFace           Cd_psi          idf_vanilla_bdLSTM_1-pt5-1pt5_sensorAccl_bdb.npz           0.9316           0.0           5.0981           3.0036           0.0926
masterFace           euclid          idf_vanilla_bdLSTM_1-2-pt1_sensorAccl_bdb.npz           0.8166           0.0           5.1795           2.7784           0.2877
masterFace           corr          idf_vanilla_lgtranet_k3-5_1-pt5-pt1_sensorAccl_bdb.npz           0.0802           1.5           2.5           4.1828           0.1938
masterFace           DCG          idf_vanilla_bdLSTM_1-1-pt1_sensorAccl_bdb.npz           0.8416           0.0           5.126           2.9282           0.2352
masterFace           Kendall          idf_vanilla_bdLSTM_1-2-pt5_sensorAccl_bdb.npz           0.8414           0.5           5.0985           3.0024           0.2022
masterFace           ERR          idf_vanilla_bdLSTM_1-1-pt1_sensorAccl_bdb.npz           0.8416           0.0           5.126           2.9282           0.2352
masterFace           U          idf_vanilla_bdLSTM_1-2-pt1_sensorAccl_bdb.npz           0.8166           0.0           5.1795           2.7784           0.2877
masterFace           GRE          idf_vanilla_lgtranet_k3-5_1-pt5-pt1_sensorAccl_bdb.npz           0.0802           1.5           2.5           4.1828           0.1938
