Quantifier             Metric             selectedModel                                  nAr*             r             R             Psi             Cd
dgbqa           Ar*       idf_vanilla_lgtranet_k3-5_1-1-1_sensorMagn_bdb.npz           0.0739           1.5           1.9877           2.9098           0.185
dgbqa           R       idf_vanilla_bdLSTM_1-1pt5-pt1_sensorMagn_bdb.npz           0.0712           1.5           2.0083           2.8641           0.2471
dgbqa           psi       idf_vanilla_bdLSTM_1-pt5-pt1_sensorMagn_bdb.npz           0.0348           2.0           1.7234           2.2966           0.25
dgbqa           r       idf_vanilla_lgtranet_k3-5_1-1-1_sensorMagn_bdb.npz           0.0739           1.5           1.9877           2.9098           0.185
dgbqa           Ar       idf_vanilla_bdLSTM_1-1pt5-pt1_sensorMagn_bdb.npz           0.0712           1.5           2.0083           2.8641           0.2471
dgbqa           ArCd       idf_vanilla_lgtranet_k3-5_1-1-1_sensorMagn_bdb.npz           0.0739           1.5           1.9877           2.9098           0.185
dgbqa           Ar_psi       idf_vanilla_bdLSTM_1-1pt5-pt1_sensorMagn_bdb.npz           0.0712           1.5           2.0083           2.8641           0.2471
dgbqa           Cd_psi       idf_vanilla_bdLSTM_1-pt5-1pt5_sensorMagn_bdb.npz           0.0406           2.0           1.9316           2.6996           0.0967
dgbqa           euclid       idf_vanilla_bdLSTM_1-1pt5-pt1_sensorMagn_bdb.npz           0.0712           1.5           2.0083           2.8641           0.2471
dgbqa           corr       idf_vanilla_bdLSTM_1-1pt5-pt1_sensorMagn_bdb.npz           0.0712           1.5           2.0083           2.8641           0.2471
dgbqa           DCG       idf_vanilla_bdLSTM_1-1pt5-pt1_sensorMagn_bdb.npz           0.0712           1.5           2.0083           2.8641           0.2471
dgbqa           Kendall       idf_vanilla_lgtranet_k3-5_1-1-1_sensorMagn_bdb.npz           0.0739           1.5           1.9877           2.9098           0.185
dgbqa           ERR       idf_vanilla_lgtranet_k3-5_1-2-1pt5_sensorMagn_bdb.npz           0.0401           2.0           1.9335           2.512           0.1233
dgbqa           U       idf_vanilla_bdLSTM_1-1pt5-pt1_sensorMagn_bdb.npz           0.0712           1.5           2.0083           2.8641           0.2471
dgbqa           GRE       idf_vanilla_lgtranet_k3-5_1-1-1_sensorMagn_bdb.npz           0.0739           1.5           1.9877           2.9098           0.185
dgbqa           infAp       idf_vanilla_lgtranet_k3-5_1-1-1_sensorMagn_bdb.npz           0.0739           1.5           1.9877           2.9098           0.185
dgbqa           NegRel       idf_vanilla_lgtranet_k3-5_1-pt5-1pt5_sensorMagn_bdb.npz           0.039           2.0           1.9784           2.993           0.1584
dgbqa           RPP       idf_vanilla_lgtranet_k3-5_1-2-1pt5_sensorMagn_bdb.npz           0.0401           2.0           1.9335           2.512           0.1233
dgbqa           relEnt       idf_vanilla_bdLSTM_1-1-1pt5_sensorMagn_bdb.npz           0.0409           2.0           1.9553           2.7218           0.0963

deltaDistance           Ar*       idf_vanilla_lgtranet_k3-5_1-pt5-pt1_sensorMagn_bdb.npz           0.2047           1.0           3.0061           2.7392           0.2834
deltaDistance           R       idf_vanilla_lgtranet_k3-5_1-pt5-pt1_sensorMagn_bdb.npz           0.2047           1.0           3.0061           2.7392           0.2834
deltaDistance           psi       idf_vanilla_bdLSTM_1-2-pt1_sensorMagn_bdb.npz                 0.0347           2.0           1.6759           2.0313           0.2535
deltaDistance           r       idf_vanilla_lgtranet_k3-5_1-pt5-pt1_sensorMagn_bdb.npz           0.2047           1.0           3.0061           2.7392           0.2834
deltaDistance           Ar       idf_vanilla_lgtranet_k3-5_1-pt5-pt1_sensorMagn_bdb.npz           0.2047           1.0           3.0061           2.7392           0.2834
deltaDistance           ArCd       idf_vanilla_lgtranet_k3-5_1-pt5-pt1_sensorMagn_bdb.npz           0.2047           1.0           3.0061           2.7392           0.2834
deltaDistance           Ar_psi       idf_vanilla_lgtranet_k3-5_1-pt5-pt1_sensorMagn_bdb.npz           0.2047           1.0           3.0061           2.7392           0.2834
deltaDistance           Cd_psi       idf_vanilla_lgtranet_k3-5_1-2-1pt5_sensorMagn_bdb.npz           0.0948           1.5           2.3523           2.1806           0.1233
deltaDistance           euclid       idf_vanilla_lgtranet_k3-5_1-pt5-pt1_sensorMagn_bdb.npz           0.2047           1.0           3.0061           2.7392           0.2834
deltaDistance           corr       idf_vanilla_lgtranet_k3-5_1-pt5-pt1_sensorMagn_bdb.npz           0.2047           1.0           3.0061           2.7392           0.2834
deltaDistance           DCG       idf_vanilla_lgtranet_k3-5_1-pt5-pt1_sensorMagn_bdb.npz           0.2047           1.0           3.0061           2.7392           0.2834
deltaDistance           Kendall       idf_vanilla_lgtranet_k3-5_1-pt5-pt1_sensorMagn_bdb.npz           0.2047           1.0           3.0061           2.7392           0.2834
deltaDistance           ERR       idf_vanilla_lgtranet_k3-5_1-pt5-pt1_sensorMagn_bdb.npz           0.2047           1.0           3.0061           2.7392           0.2834
deltaDistance           U       idf_vanilla_lgtranet_k3-5_1-pt5-pt1_sensorMagn_bdb.npz           0.2047           1.0           3.0061           2.7392           0.2834
deltaDistance           GRE       idf_vanilla_lgtranet_k3-5_1-pt5-pt1_sensorMagn_bdb.npz           0.2047           1.0           3.0061           2.7392           0.2834
deltaDistance           infAp       idf_vanilla_lgtranet_k3-5_1-pt5-pt1_sensorMagn_bdb.npz           0.2047           1.0           3.0061           2.7392           0.2834
deltaDistance           NegRel       idf_vanilla_bdLSTM_1-2-1_sensorMagn_bdb.npz                    0.0385           2.0           1.8668           2.9906           0.1399
deltaDistance           RPP       idf_vanilla_lgtranet_k3-5_1-pt5-pt1_sensorMagn_bdb.npz           0.2047           1.0           3.0061           2.7392           0.2834
deltaDistance           relEnt       idf_vanilla_lgtranet_k3-5_1-pt5-pt1_sensorMagn_bdb.npz           0.2047           1.0           3.0061           2.7392           0.2834

masterFace           Ar*       idf_vanilla_lgtranet_k3-5_1-2-1pt5_sensorMagn_bdb.npz           0.0701           1.5           2.5           3.9662           0.1233
masterFace           R       idf_vanilla_lgtranet_k3-5_1-pt5-pt1_sensorMagn_bdb.npz           0.0621           1.5           2.5           3.9662           0.2834
masterFace           psi       idf_vanilla_lgtranet_k3-5_1-pt5-pt1_sensorMagn_bdb.npz           0.0621           1.5           2.5           3.9662           0.2834
masterFace           r       idf_vanilla_lgtranet_k3-5_1-pt5-pt1_sensorMagn_bdb.npz           0.0621           1.5           2.5           3.9662           0.2834
masterFace           Ar       idf_vanilla_lgtranet_k3-5_1-pt5-pt1_sensorMagn_bdb.npz           0.0621           1.5           2.5           3.9662           0.2834
masterFace           ArCd       idf_vanilla_lgtranet_k3-5_1-2-1pt5_sensorMagn_bdb.npz           0.0701           1.5           2.5           3.9662           0.1233
masterFace           Ar_psi       idf_vanilla_lgtranet_k3-5_1-pt5-pt1_sensorMagn_bdb.npz           0.0621           1.5           2.5           3.9662           0.2834
masterFace           Cd_psi       idf_vanilla_lgtranet_k3-5_1-2-1pt5_sensorMagn_bdb.npz           0.0701           1.5           2.5           3.9662           0.1233
masterFace           euclid       idf_vanilla_lgtranet_k3-5_1-pt5-pt1_sensorMagn_bdb.npz           0.0621           1.5           2.5           3.9662           0.2834
masterFace           corr       idf_vanilla_lgtranet_k3-5_1-pt5-pt1_sensorMagn_bdb.npz           0.0621           1.5           2.5           3.9662           0.2834
masterFace           DCG       idf_vanilla_bdLSTM_1-2-1pt5_sensorMagn_bdb.npz           0.0192           1.5           1.634           7.4962           0.1221
masterFace           Kendall       idf_vanilla_bdLSTM_1-pt5-1_sensorMagn_bdb.npz           0.0192           1.5           1.634           7.4962           0.1182
masterFace           ERR       idf_vanilla_lgtranet_k3-5_1-pt5-pt1_sensorMagn_bdb.npz           0.0621           1.5           2.5           3.9662           0.2834
masterFace           U       idf_vanilla_lgtranet_k3-5_1-pt5-pt1_sensorMagn_bdb.npz           0.0621           1.5           2.5           3.9662           0.2834
masterFace           GRE       idf_vanilla_lgtranet_k3-5_1-pt5-pt1_sensorMagn_bdb.npz           0.0621           1.5           2.5           3.9662           0.2834
masterFace           infAp       idf_vanilla_lgtranet_k3-5_1-pt5-pt1_sensorMagn_bdb.npz           0.0621           1.5           2.5           3.9662           0.2834
masterFace           NegRel       idf_vanilla_bdLSTM_1-1-pt1_sensorMagn_bdb.npz           0.0084           2.0           1.2653           7.2338           0.2821
masterFace           RPP       idf_vanilla_lgtranet_k3-5_1-pt5-pt1_sensorMagn_bdb.npz           0.0621           1.5           2.5           3.9662           0.2834
masterFace           relEnt       idf_vanilla_lgtranet_k3-5_1-2-1pt5_sensorMagn_bdb.npz           0.0701           1.5           2.5           3.9662           0.1233

