Quantifier             Metric             selectedModel                                  nAr*             r             R             Psi             Cd
dgbqa           Ar*           MS_MViT_pt5-1_SOLI                                         0.4917           0.8182           8.6974           1.638           0.1233
dgbqa           R           DGBQA_CGID_Res3D-MF_1pt5-pt5_SOLI                            0.3797           0.4545           8.7146           1.5684           0.3615
dgbqa           psi           DGBQA_CGID_Res3D-ViViT_1-pt5_SOLI                          0.1899           1.5455           8.3215           1.3669           0.3086
dgbqa           Ar           DGBQA_CGID_Res3D-ViViT_1pt5-pt5_SOLI                        0.4329           0.4545           8.5427           1.7006           0.3506
dgbqa           Ar           DGBQA_CGID_Res3D-ViViT_1pt5-pt5_SOLI                        0.4329           0.4545           8.5427           1.7006           0.3506
dgbqa           ArCd           MS_MViT_pt5-1_SOLI                                       0.4917           0.8182           8.6974           1.638           0.1233
dgbqa           Ar_psi           DGBQA_CGID_Res3D-ViViT_1pt5-pt5_SOLI                    0.4329           0.4545           8.5427           1.7006           0.3506
dgbqa           Cd_psi           MS_MViT_pt5-1_SOLI                                     0.4917           0.8182           8.6974           1.638           0.1233
dgbqa           euclid           MS_TPN_1pt5-1_SOLI                                     0.2461           1.0           8.6262           1.3983           0.3312
dgbqa           corr           MS_TPN_1pt5-1_SOLI                                       0.2461           1.0           8.6262           1.3983           0.3312
dgbqa           DCG           DGBQA_CGID_Res3D-ViViT_1-1_SOLI                           0.3138           1.0           8.4063           1.6579           0.2669
dgbqa           Kendall           DGBQA_CGID_Res3D-ViViT_1pt5-1_SOLI                    0.2814           2.0909           8.0589           1.7653           0.3142
dgbqa           ERR           DGBQA_CGID_Res3D-MF_1-1_SOLI                              0.3146           1.0           8.6405           1.7881           0.2682
dgbqa           U           DGBQA_CGID_Res3D-MF_1-1pt5_SOLI                             0.3295           1.0           8.5474           1.8409           0.2291
dgbqa           GRE           DGBQA_CGID_Res3D-MF_1pt5-pt5_SOLI                         0.3797           0.4545           8.7146           1.5684           0.3615
dgbqa           infAp           DGBQA_CGID_Res3D-ViViT_1pt5-pt5_SOLI                    0.4329           0.4545           8.5427           1.7006           0.3506
