Quantifier             Metric             selectedModel                                  nAr*             r             R             Psi             Cd
dgbqa           Ar*           MS_MF_1-1pt5_Tiny                                      0.301           1.4545           8.2872           2.2759           0.4836
deltaDistance           Ar*           DGBQA_CGID_Res3D-ViViT_1-2pt5_Tiny           0.2383           1.6364           8.0789           3.4827           0.5408
masterFace           Ar*           DGBQA_CGID_Res3D-ViViT_pt5-1pt5_Tiny           0.3199           1.0909           8.2919           2.8731           0.4881
genCapacity           Ar*           DGBQA_CGID_Res3D-ViViT_1-2pt5_Tiny           0.222           1.4545           7.2666           4.4466           0.5408
swipeQuality           Ar*           MS_TAM_1-2pt5_Tiny                         0.1373           2.9091           7.1167           2.9727           0.5556

dgbqa           r           DGBQA_CGID_Res3D-ViViT_pt5-1pt5_Tiny           0.2692           1.2727           8.3921           2.2479           0.4881
deltaDistance           r           DGBQA_CGID_Res3D-ViViT_1-2pt5_Tiny           0.2383           1.6364           8.0789           3.4827           0.5408
masterFace           r           DGBQA_CGID_Res3D-ViViT_pt5-1_Tiny           0.2547           1.0909           8.1552           3.3549           0.502
genCapacity           r           MS_TAM_1-1pt5_Tiny           0.1973           1.0909           7.2056           3.9245           0.5703
swipeQuality           r           MS_TAM_1-2pt5_Tiny           0.1373           2.9091           7.1167           2.9727           0.5556

dgbqa           R           DGBQA_CGID_Res3D-ViViT_1-2pt5_Tiny           0.2413           1.4545           8.5006           2.1387           0.5408
deltaDistance           R           DGBQA_CGID_Res3D-ViViT_1-2pt5_Tiny           0.2383           1.6364           8.0789           3.4827           0.5408
masterFace           R           DGBQA_CGID_Res3D-ViViT_pt5-1pt5_Tiny           0.3199           1.0909           8.2919           2.8731           0.4881
genCapacity           R           DGBQA_CGID_Res3D-ViViT_1-1_Tiny           0.2144           1.2727           7.7425           3.2035           0.5151
swipeQuality           R           MS_TAM_1-2pt5_Tiny           0.1373           2.9091           7.1167           2.9727           0.5556

dgbqa           psi           MS_TAM_1-1_Tiny           0.1962           2.0           8.0011           1.9956           0.6514
deltaDistance           psi           DGBQA_CGID_Res3D-ViViT_pt5-2pt5_Tiny           0.1389           2.0           7.9444           2.9874           0.4692
masterFace           psi           MS_MF_1-2pt5_Tiny           0.1825           2.0           7.644           2.5504           0.478
genCapacity           psi           DGBQA_CGID_Res3D-ViViT_1-1_Tiny           0.2144           1.2727           7.7425           3.2035           0.5151
swipeQuality           psi           MS_TAM_1-2pt5_Tiny           0.1373           2.9091           7.1167           2.9727           0.5556

dgbqa           Ar           MS_MF_1-1pt5_Tiny           0.301           1.4545           8.2872           2.2759           0.4836
deltaDistance           Ar           DGBQA_CGID_Res3D-ViViT_1-2pt5_Tiny           0.2383           1.6364           8.0789           3.4827           0.5408
masterFace           Ar           DGBQA_CGID_Res3D-ViViT_pt5-1pt5_Tiny           0.3199           1.0909           8.2919           2.8731           0.4881
genCapacity           Ar           DGBQA_CGID_Res3D-ViViT_1-2pt5_Tiny           0.222           1.4545           7.2666           4.4466           0.5408
swipeQuality           Ar           MS_TAM_1-2pt5_Tiny           0.1373           2.9091           7.1167           2.9727           0.5556

dgbqa           ArCd           MS_MF_1-1pt5_Tiny           0.301           1.4545           8.2872           2.2759           0.4836
deltaDistance           ArCd           DGBQA_CGID_Res3D-ViViT_1-2pt5_Tiny           0.2383           1.6364           8.0789           3.4827           0.5408
masterFace           ArCd           DGBQA_CGID_Res3D-ViViT_pt5-1pt5_Tiny           0.3199           1.0909           8.2919           2.8731           0.4881
genCapacity           ArCd           DGBQA_CGID_Res3D-ViViT_1-2pt5_Tiny           0.222           1.4545           7.2666           4.4466           0.5408
swipeQuality           ArCd           MS_TAM_1-2pt5_Tiny           0.1373           2.9091           7.1167           2.9727           0.5556

dgbqa                  Ar_psi           MS_MF_1-1pt5_Tiny                           0.301           1.4545           8.2872           2.2759           0.4836
deltaDistance         Ar_psi           DGBQA_CGID_Res3D-ViViT_1-2pt5_Tiny           0.2383           1.6364           8.0789           3.4827           0.5408
masterFace           Ar_psi           DGBQA_CGID_Res3D-ViViT_pt5-1pt5_Tiny           0.3199           1.0909           8.2919           2.8731           0.4881
genCapacity           Ar_psi           DGBQA_CGID_Res3D-ViViT_1-2pt5_Tiny           0.222           1.4545           7.2666           4.4466           0.5408
swipeQuality           Ar_psi           MS_TAM_1-2pt5_Tiny                           0.1373           2.9091           7.1167           2.9727           0.5556

dgbqa           Cd_psi           MS_MF_1-1pt5_Tiny           0.301           1.4545           8.2872           2.2759           0.4836
deltaDistance           Cd_psi           DGBQA_CGID_Res3D-ViViT_pt5-2pt5_Tiny           0.1389           2.0           7.9444           2.9874           0.4692
masterFace           Cd_psi           MS_MF_1-2pt5_Tiny           0.1825           2.0           7.644           2.5504           0.478
genCapacity           Cd_psi           DGBQA_CGID_Res3D-ViViT_pt5-2pt5_Tiny           0.1391           1.8182           6.5387           3.4273           0.4692
swipeQuality           Cd_psi           DGBQA_CGID_Res3D-ViViT_pt5-1pt5_Tiny           0.0139           5.0909           4.53           3.0174           0.4881

dgbqa           euclid           DGBQA_CGID_Res3D-ViViT_1-2pt5_Tiny           0.2413           1.4545           8.5006           2.1387           0.5408
deltaDistance           euclid           DGBQA_CGID_Res3D-ViViT_1-2pt5_Tiny           0.2383           1.6364           8.0789           3.4827           0.5408
masterFace           euclid           DGBQA_CGID_Res3D-ViViT_pt5-1pt5_Tiny           0.3199           1.0909           8.2919           2.8731           0.4881
