Quantifier      Metric      nAr*      r      R      Psi      Cd
dgbqa      Ar*      0.7389      0.0      4.8535      1.2732      0.1561
dgbqa      R      0.6996      0.0      4.881      1.7873      0.1638
dgbqa      psi      0.5724      0.4      4.7591      0.3019      0.1685
dgbqa      r      0.7389      0.0      4.8535      1.2732      0.1561
dgbqa      Ar      0.7249      0.0      4.8584      1.5483      0.1602
dgbqa      ArCd      0.7249      0.0      4.8584      1.5483      0.1602
dgbqa      Ar_psi      0.7389      0.0      4.8535      1.2732      0.1561
dgbqa      Cd_psi      0.5724      0.4      4.7591      0.3019      0.1685
dgbqa      euclid      0.5724      0.4      4.7591      0.3019      0.1685
dgbqa      corr      0.5724      0.4      4.7591      0.3019      0.1685
dgbqa      DCG      0.5108      0.8      4.4453      2.3701      0.1338
dgbqa      Kendall      0.1762      1.6      2.8871      3.4008      0.1152
dgbqa      ERR      0.5108      0.8      4.4453      2.3701      0.1338
dgbqa      U      0.6996      0.0      4.881      1.7873      0.1638
dgbqa      GRE      0.7389      0.0      4.8535      1.2732      0.1561
dgbqa      infAp      0.7389      0.0      4.8535      1.2732      0.1561
dgbqa      NegRel      0.1025      2.0      3.0755      3.913      0.1496
dgbqa      relEnt      0.7389      0.0      4.8535      1.2732      0.1561

deltaDistance      Ar*      0.7389      0.0      4.8535      1.2732      0.1561
deltaDistance      R      0.6996      0.0      4.881      1.7873      0.1638
deltaDistance      psi      0.5724      0.4      4.7591      0.3019      0.1685
deltaDistance      r      0.7389      0.0      4.8535      1.2732      0.1561
deltaDistance      Ar      0.7249      0.0      4.8584      1.5483      0.1602
deltaDistance      ArCd      0.7249      0.0      4.8584      1.5483      0.1602
deltaDistance      Ar_psi      0.7389      0.0      4.8535      1.2732      0.1561
deltaDistance      Cd_psi      0.5724      0.4      4.7591      0.3019      0.1685
deltaDistance      euclid      0.5724      0.4      4.7591      0.3019      0.1685
deltaDistance      corr      0.5724      0.4      4.7591      0.3019      0.1685
deltaDistance      DCG      0.5108      0.8      4.4453      2.3701      0.1338
deltaDistance      Kendall      0.1762      1.6      2.8871      3.4008      0.1152
deltaDistance      ERR      0.5108      0.8      4.4453      2.3701      0.1338
deltaDistance      U      0.6996      0.0      4.881      1.7873      0.1638
deltaDistance      GRE      0.7389      0.0      4.8535      1.2732      0.1561
deltaDistance      infAp      0.7389      0.0      4.8535      1.2732      0.1561
deltaDistance      NegRel      0.1025      2.0      3.0755      3.913      0.1496
deltaDistance      relEnt      0.7389      0.0      4.8535      1.2732      0.1561

masterFace      Ar*      1.809      0.8      6.2317      5.2997      0.1338
masterFace      R      0.8925      0.0      7.2061      3.9965      0.1638
masterFace      psi      0.3721      0.4      6.9334      0.6752      0.1685
masterFace      r      1.0102      0.0      7.1445      2.847      0.1561
masterFace      Ar      1.809      0.8      6.2317      5.2997      0.1338
masterFace      ArCd      1.809      0.8      6.2317      5.2997      0.1338
masterFace      Ar_psi      1.809      0.8      6.2317      5.2997      0.1338
masterFace      Cd_psi      0.3721      0.4      6.9334      0.6752      0.1685
masterFace      euclid      0.3721      0.4      6.9334      0.6752      0.1685
masterFace      corr      0.3721      0.4      6.9334      0.6752      0.1685
masterFace      DCG      1.809      0.8      6.2317      5.2997      0.1338
masterFace      Kendall      0.0804      1.6      2.7475      7.6044      0.1152
masterFace      ERR      1.809      0.8      6.2317      5.2997      0.1338
masterFace      U      0.8925      0.0      7.2061      3.9965      0.1638
masterFace      GRE      1.0102      0.0      7.1445      2.847      0.1561
masterFace      infAp      1.0102      0.0      7.1445      2.847      0.1561
masterFace      NegRel      1.1299      1.2      5.6192      8.4415      0.1561
masterFace      relEnt      0.8925      0.0      7.2061      3.9965      0.1638

genCapacity      Ar*      0.7389      0.0      4.8535      1.2732      0.1561
genCapacity      R      0.6996      0.0      4.881      1.7873      0.1638
genCapacity      psi      0.5724      0.4      4.7591      0.3019      0.1685
genCapacity      r      0.7389      0.0      4.8535      1.2732      0.1561
genCapacity      Ar      0.7249      0.0      4.8584      1.5483      0.1602
genCapacity      ArCd      0.7249      0.0      4.8584      1.5483      0.1602
genCapacity      Ar_psi      0.7389      0.0      4.8535      1.2732      0.1561
genCapacity      Cd_psi      0.5724      0.4      4.7591      0.3019      0.1685
genCapacity      euclid      0.5724      0.4      4.7591      0.3019      0.1685
genCapacity      corr      0.5724      0.4      4.7591      0.3019      0.1685
genCapacity      DCG      0.5108      0.8      4.4453      2.3701      0.1338
genCapacity      Kendall      0.1762      1.6      2.8871      3.4008      0.1152
genCapacity      ERR      0.5108      0.8      4.4453      2.3701      0.1338
genCapacity      U      0.6996      0.0      4.881      1.7873      0.1638
genCapacity      GRE      0.7389      0.0      4.8535      1.2732      0.1561
genCapacity      infAp      0.7389      0.0      4.8535      1.2732      0.1561
