Quantifier      Metric      nAr*      r      R      Psi      Cd
dgbqa      Ar*      0.3714      0.0      1.8638      0.4031      0.4275
dgbqa      R      0.1051      1.0      1.9743      4.0933      0.3917
dgbqa      psi      0.3714      0.0      1.8638      0.4031      0.4275
dgbqa      r      0.2091      0.0      0.8292      1.934      0.332
dgbqa      Ar      0.3714      0.0      1.8638      0.4031      0.4275
dgbqa      ArCd      0.3714      0.0      1.8638      0.4031      0.4275
dgbqa      Ar_psi      0.3714      0.0      1.8638      0.4031      0.4275
dgbqa      Cd_psi      0.3714      0.0      1.8638      0.4031      0.4275
dgbqa      euclid      0.3714      0.0      1.8638      0.4031      0.4275
dgbqa      corr      0.3714      0.0      1.8638      0.4031      0.4275
dgbqa      DCG      0.1051      1.0      1.9743      4.0933      0.3917
dgbqa      Kendall      0.2091      0.0      0.8292      1.934      0.332
dgbqa      ERR      0.2761      0.0      1.5      0.8284      0.4457
dgbqa      U      0.1051      1.0      1.9743      4.0933      0.3917
dgbqa      GRE      0.2091      0.0      0.8292      1.934      0.332
dgbqa      infAp      0.2091      0.0      0.8292      1.934      0.332
dgbqa      NegRel      0.0628      1.0      0.6679      5.6019      0.2962
dgbqa      relEnt      0.1051      1.0      1.9743      4.0933      0.3917

deltaDistance      Ar*      1.0295      0.0      2.923      0.2986      0.332
deltaDistance      R      1.0295      0.0      2.923      0.2986      0.332
deltaDistance      psi      0.5164      0.0      2.1155      0.1839      0.2962
deltaDistance      r      0.7356      0.0      2.8266      1.9932      0.3035
deltaDistance      Ar      1.0295      0.0      2.923      0.2986      0.332
deltaDistance      ArCd      1.0295      0.0      2.923      0.2986      0.332
deltaDistance      Ar_psi      1.0295      0.0      2.923      0.2986      0.332
deltaDistance      Cd_psi      0.5164      0.0      2.1155      0.1839      0.2962
deltaDistance      euclid      0.5164      0.0      2.1155      0.1839      0.2962
deltaDistance      corr      0.5164      0.0      2.1155      0.1839      0.2962
deltaDistance      DCG      0.7356      0.0      2.8266      1.9932      0.3035
deltaDistance      Kendall      0.7356      0.0      2.8266      1.9932      0.3035
deltaDistance      ERR      0.2911      0.0      1.5375      0.7791      0.4099
deltaDistance      U      1.0295      0.0      2.923      0.2986      0.332
deltaDistance      GRE      0.7356      0.0      2.8266      1.9932      0.3035
deltaDistance      infAp      0.7356      0.0      2.8266      1.9932      0.3035
deltaDistance      NegRel      0.0832      1.0      1.657      4.6081      0.4171
deltaDistance      relEnt      1.0295      0.0      2.923      0.2986      0.332

