quants      kappa      lambda      nu      beta      model
dgbqa      0.01      2.0      1.0      0.75     idf_vanilla_bdLSTM_1-1-1pt5_sensorMagn_bdb
dgbqa      0.05      2.0      1.0      0.75     idf_vanilla_bdLSTM_1-1-1pt5_sensorMagn_bdb
dgbqa      0.1      2.0      1.0      0.75     idf_vanilla_bdLSTM_1-1-1pt5_sensorMagn_bdb
dgbqa      0.25      2.0      1.0      0.75     idf_vanilla_lgtranet_k3-5_1-1-1_sensorMagn_bdb
dgbqa      0.5      2.0      1.0      0.75     idf_vanilla_lgtranet_k3-5_1-1-1_sensorMagn_bdb
dgbqa      0.75      2.0      1.0      0.75     idf_vanilla_lgtranet_k3-5_1-1-1_sensorMagn_bdb
dgbqa      1.0      2.0      1.0      0.75     idf_vanilla_lgtranet_k3-5_1-1-1_sensorMagn_bdb
dgbqa      1.5      2.0      1.0      0.75     idf_vanilla_lgtranet_k3-5_1-1-1_sensorMagn_bdb
dgbqa      2.0      2.0      1.0      0.75     idf_vanilla_lgtranet_k3-5_1-1-1_sensorMagn_bdb
dgbqa      4.0      2.0      1.0      0.75     idf_vanilla_lgtranet_k3-5_1-1-1_sensorMagn_bdb

dgbqa      1.0      0.01      1.0      0.75     idf_vanilla_lgtranet_k3-5_1-1-1_sensorMagn_bdb
dgbqa      1.0      0.05      1.0      0.75     idf_vanilla_lgtranet_k3-5_1-1-1_sensorMagn_bdb
dgbqa      1.0      0.1      1.0      0.75     idf_vanilla_lgtranet_k3-5_1-1-1_sensorMagn_bdb
dgbqa      1.0      0.25      1.0      0.75     idf_vanilla_lgtranet_k3-5_1-1-1_sensorMagn_bdb
dgbqa      1.0      0.5      1.0      0.75     idf_vanilla_lgtranet_k3-5_1-1-1_sensorMagn_bdb
dgbqa      1.0      0.75      1.0      0.75     idf_vanilla_lgtranet_k3-5_1-1-1_sensorMagn_bdb
dgbqa      1.0      1.0      1.0      0.75     idf_vanilla_lgtranet_k3-5_1-1-1_sensorMagn_bdb
dgbqa      1.0      1.5      1.0      0.75     idf_vanilla_lgtranet_k3-5_1-1-1_sensorMagn_bdb
dgbqa      1.0      2.0      1.0      0.75     idf_vanilla_lgtranet_k3-5_1-1-1_sensorMagn_bdb
dgbqa      1.0      3.0      1.0      0.75     idf_vanilla_lgtranet_k3-5_1-1-1_sensorMagn_bdb
dgbqa      1.0      4.0      1.0      0.75     idf_vanilla_lgtranet_k3-5_1-1-1_sensorMagn_bdb

dgbqa      1.0      2.0      0.01      0.75     idf_vanilla_lgtranet_k3-5_1-1-1_sensorMagn_bdb
dgbqa      1.0      2.0      0.05      0.75     idf_vanilla_lgtranet_k3-5_1-1-1_sensorMagn_bdb
dgbqa      1.0      2.0      0.1      0.75     idf_vanilla_lgtranet_k3-5_1-1-1_sensorMagn_bdb
dgbqa      1.0      2.0      0.25      0.75     idf_vanilla_lgtranet_k3-5_1-1-1_sensorMagn_bdb
dgbqa      1.0      2.0      0.5      0.75     idf_vanilla_lgtranet_k3-5_1-1-1_sensorMagn_bdb
dgbqa      1.0      2.0      0.75      0.75     idf_vanilla_lgtranet_k3-5_1-1-1_sensorMagn_bdb
dgbqa      1.0      2.0      1.0      0.75     idf_vanilla_lgtranet_k3-5_1-1-1_sensorMagn_bdb
dgbqa      1.0      2.0      1.5      0.75     idf_vanilla_lgtranet_k3-5_1-1-1_sensorMagn_bdb
dgbqa      1.0      2.0      2.0      0.75     idf_vanilla_lgtranet_k3-5_1-1-1_sensorMagn_bdb
dgbqa      1.0      2.0      3.0      0.75     idf_vanilla_lgtranet_k3-5_1-1-1_sensorMagn_bdb
dgbqa      1.0      2.0      4.0      0.75     idf_vanilla_lgtranet_k3-5_1-1-1_sensorMagn_bdb

dgbqa      1.0      2.0      1.0      0.01     idf_vanilla_bdLSTM_1-1pt5-pt1_sensorMagn_bdb
dgbqa      1.0      2.0      1.0      0.05     idf_vanilla_bdLSTM_1-1pt5-pt1_sensorMagn_bdb
dgbqa      1.0      2.0      1.0      0.1     idf_vanilla_bdLSTM_1-1pt5-pt1_sensorMagn_bdb
dgbqa      1.0      2.0      1.0      0.25     idf_vanilla_lgtranet_k3-5_1-1-1_sensorMagn_bdb
dgbqa      1.0      2.0      1.0      0.5     idf_vanilla_lgtranet_k3-5_1-1-1_sensorMagn_bdb
dgbqa      1.0      2.0      1.0      0.75     idf_vanilla_lgtranet_k3-5_1-1-1_sensorMagn_bdb
dgbqa      1.0      2.0      1.0      1.0     idf_vanilla_lgtranet_k3-5_1-1-1_sensorMagn_bdb
