quants      kappa      lambda      nu      beta      model
dgbqa      0.01      2.0      1.0      0.75     ms_hcn_1-2-1pt5-multiStepmin3_ntu60
dgbqa      0.05      2.0      1.0      0.75     ms_hcn_1-2-1pt5-multiStepmin3_ntu60
dgbqa      0.1      2.0      1.0      0.75     ms_hcn_1-2-1pt5-multiStepmin3_ntu60
dgbqa      0.25      2.0      1.0      0.75     ms_hcn_1-2-1pt5-multiStepmin3_ntu60
dgbqa      0.5      2.0      1.0      0.75     ms_hcn_1-2-1pt5-multiStepmin3_ntu60
dgbqa      0.75      2.0      1.0      0.75     ms_hcn_1-2-1pt5-multiStepmin3_ntu60
dgbqa      1.0      2.0      1.0      0.75     ms_hcn_1-2-1pt5-multiStepmin3_ntu60
dgbqa      1.5      2.0      1.0      0.75     ms_hcn_1-2-1pt5-multiStepmin3_ntu60
dgbqa      2.0      2.0      1.0      0.75     ms_hcn_1-2-pt01-multiStepmin3_ntu60
dgbqa      3.0      2.0      1.0      0.75     ms_hcn_1-2-pt01-multiStepmin3_ntu60
dgbqa      4.0      2.0      1.0      0.75     ms_hcn_1-2-pt01-multiStepmin3_ntu60

dgbqa      1.0      0.01      1.0      0.75     ms_hcn_1-1-1pt5-multiStepmin3_ntu60
dgbqa      1.0      0.05      1.0      0.75     ms_hcn_1-1-1pt5-multiStepmin3_ntu60
dgbqa      1.0      0.1      1.0      0.75     ms_hcn_1-1-1pt5-multiStepmin3_ntu60
dgbqa      1.0      0.25      1.0      0.75     ms_hcn_1-1-1pt5-multiStepmin3_ntu60
dgbqa      1.0      0.5      1.0      0.75     ms_hcn_1-2-1pt5-multiStepmin3_ntu60
dgbqa      1.0      0.75      1.0      0.75     ms_hcn_1-2-1pt5-multiStepmin3_ntu60
dgbqa      1.0      1.0      1.0      0.75     ms_hcn_1-2-1pt5-multiStepmin3_ntu60
dgbqa      1.0      1.5      1.0      0.75     ms_hcn_1-2-1pt5-multiStepmin3_ntu60
dgbqa      1.0      2.0      1.0      0.75     ms_hcn_1-2-1pt5-multiStepmin3_ntu60
dgbqa      1.0      3.0      1.0      0.75     ms_hcn_1-1-pt5-multiStepmin3_ntu60
dgbqa      1.0      4.0      1.0      0.75     ms_hcn_1-1-pt5-multiStepmin3_ntu60

dgbqa      1.0      2.0      0.01      0.75     ms_hcn_1-2-pt01-multiStepmin3_ntu60
dgbqa      1.0      2.0      0.05      0.75     ms_hcn_1-2-pt01-multiStepmin3_ntu60
dgbqa      1.0      2.0      0.1      0.75     ms_hcn_1-2-pt01-multiStepmin3_ntu60
dgbqa      1.0      2.0      0.25      0.75     ms_hcn_1-2-1pt5-multiStepmin3_ntu60
dgbqa      1.0      2.0      0.5      0.75     ms_hcn_1-2-1pt5-multiStepmin3_ntu60
dgbqa      1.0      2.0      0.75      0.75     ms_hcn_1-2-1pt5-multiStepmin3_ntu60
dgbqa      1.0      2.0      1.0      0.75     ms_hcn_1-2-1pt5-multiStepmin3_ntu60
dgbqa      1.0      2.0      1.5      0.75     ms_hcn_1-2-1pt5-multiStepmin3_ntu60
dgbqa      1.0      2.0      2.0      0.75     ms_hcn_1-2-1pt5-multiStepmin3_ntu60
dgbqa      1.0      2.0      3.0      0.75     ms_hcn_1-2-1pt5-multiStepmin3_ntu60
dgbqa      1.0      2.0      4.0      0.75     ms_hcn_1-2-1pt5-multiStepmin3_ntu60

